Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Total, Total, Mehedinti, Anul 2004, Numar persoane, 312021
Total, Total, Total, Mehedinti, Anul 2005, Numar persoane, 310538
Total, Total, Total, Mehedinti, Anul 2006, Numar persoane, 308679
Total, Total, Total, Mehedinti, Anul 2007, Numar persoane, 306361
Total, Total, Total, Mehedinti, Anul 2008, Numar persoane, 303784
Total, Total, Total, Mehedinti, Anul 2009, Numar persoane, 301649
Total, Total, Total, Mehedinti, Anul 2010, Numar persoane, 299510
Total, Total, Total, Mehedinti, Anul 2011, Numar persoane, 296890
Total, Total, Total, Mehedinti, Anul 2012, Numar persoane, 294913
Total, Total, Total, Mehedinti, Anul 2013, Numar persoane, 292774
Total, Total, Total, Mehedinti, Anul 2014, Numar persoane, 290253
Total, Total, Total, Mehedinti, Anul 2016, Numar persoane, 285931
Total, Total, Total, Mehedinti, Anul 2017, Numar persoane, 283478
Total, Total, Total, Olt, Anul 1992, Numar persoane, 527068
Total, Total, Total, Olt, Anul 1993, Numar persoane, 524939
Total, Total, Total, Olt, Anul 1994, Numar persoane, 523690
Total, Total, Total, Olt, Anul 1995, Numar persoane, 521718
Total, Total, Total, Olt, Anul 1996, Numar persoane, 519016
Total, Total, Total, Olt, Anul 1997, Numar persoane, 516460
Total, Total, Total, Olt, Anul 1998, Numar persoane, 514451
Total, Total, Total, Olt, Anul 1999, Numar persoane, 511821
Total, Total, Total, Olt, Anul 2000, Numar persoane, 510142
Total, Total, Total, Olt, Anul 2001, Numar persoane, 507390
Total, Total, Total, Olt, Anul 2002, Numar persoane, 503301
Total, Total, Total, Olt, Anul 2003, Numar persoane, 499694
Total, Total, Total, Olt, Anul 2004, Numar persoane, 496284
Total, Total, Total, Olt, Anul 2005, Numar persoane, 493393
Total, Total, Total, Olt, Anul 2006, Numar persoane, 489876
Total, Total, Total, Olt, Anul 2007, Numar persoane, 486467
Total, Total, Total, Olt, Anul 2008, Numar persoane, 482288
Total, Total, Total, Olt, Anul 2009, Numar persoane, 478298
Total, Total, Total, Olt, Anul 2010, Numar persoane, 474274
Total, Total, Total, Olt, Anul 2011, Numar persoane, 469637
Total, Total, Total, Olt, Anul 2012, Numar persoane, 465633
Total, Total, Total, Olt, Anul 2013, Numar persoane, 461299
Total, Total, Total, Olt, Anul 2014, Numar persoane, 456554
Total, Total, Total, Olt, Anul 2016, Numar persoane, 448268
Total, Total, Total, Olt, Anul 2017, Numar persoane, 443449
Total, Total, Total, Valcea, Anul 1992, Numar persoane, 434210
Total, Total, Total, Valcea, Anul 1993, Numar persoane, 433285
Total, Total, Total, Valcea, Anul 1994, Numar persoane, 432566
Total, Total, Total, Valcea, Anul 1995, Numar persoane, 431843
Total, Total, Total, Valcea, Anul 1996, Numar persoane, 430430
Total, Total, Total, Valcea, Anul 1997, Numar persoane, 429110
Total, Total, Total, Valcea, Anul 1998, Numar persoane, 427552
Total, Total, Total, Valcea, Anul 1999, Numar persoane, 426406
Total, Total, Total, Valcea, Anul 2000, Numar persoane, 425599
Total, Total, Total, Valcea, Anul 2001, Numar persoane, 425153
Total, Total, Total, Valcea, Anul 2002, Numar persoane, 424092
Total, Total, Total, Valcea, Anul 2003, Numar persoane, 422902
Total, Total, Total, Valcea, Anul 2004, Numar persoane, 421294
Total, Total, Total, Valcea, Anul 2005, Numar persoane, 420034
Total, Total, Total, Valcea, Anul 2006, Numar persoane, 418421
Total, Total, Total, Valcea, Anul 2007, Numar persoane, 417009
Total, Total, Total, Valcea, Anul 2008, Numar persoane, 415195
Total, Total, Total, Valcea, Anul 2009, Numar persoane, 414030
Total, Total, Total, Valcea, Anul 2010, Numar persoane, 412704
Total, Total, Total, Valcea, Anul 2011, Numar persoane, 410963
Total, Total, Total, Valcea, Anul 2012, Numar persoane, 409329
Total, Total, Total, Valcea, Anul 2013, Numar persoane, 407928
Total, Total, Total, Valcea, Anul 2014, Numar persoane, 406314
Total, Total, Total, Valcea, Anul 2016, Numar persoane, 402169
Total, Total, Total, Valcea, Anul 2017, Numar persoane, 399932
Total, Total, Total, Regiunea VEST, Anul 1992, Numar persoane, 2119864
Total, Total, Total, Regiunea VEST, Anul 1993, Numar persoane, 2118184
Total, Total, Total, Regiunea VEST, Anul 1994, Numar persoane, 2115720
Total, Total, Total, Regiunea VEST, Anul 1995, Numar persoane, 2110149
Total, Total, Total, Regiunea VEST, Anul 1996, Numar persoane, 2101536
Total, Total, Total, Regiunea VEST, Anul 1997, Numar persoane, 2096956
Total, Total, Total, Regiunea VEST, Anul 1998, Numar persoane, 2086925
Total, Total, Total, Regiunea VEST, Anul 1999, Numar persoane, 2080219
Total, Total, Total, Regiunea VEST, Anul 2000, Numar persoane, 2074125
Total, Total, Total, Regiunea VEST, Anul 2001, Numar persoane, 2071981
Total, Total, Total, Regiunea VEST, Anul 2002, Numar persoane, 2067562
Total, Total, Total, Regiunea VEST, Anul 2003, Numar persoane, 2063364
Total, Total, Total, Regiunea VEST, Anul 2004, Numar persoane, 2058575
Total, Total, Total, Regiunea VEST, Anul 2005, Numar persoane, 2053900
Total, Total, Total, Regiunea VEST, Anul 2006, Numar persoane, 2051098
Total, Total, Total, Regiunea VEST, Anul 2007, Numar persoane, 2048897
Total, Total, Total, Regiunea VEST, Anul 2008, Numar persoane, 2048330
Total, Total, Total, Regiunea VEST, Anul 2009, Numar persoane, 2046478
Total, Total, Total, Regiunea VEST, Anul 2010, Numar persoane, 2043482
Total, Total, Total, Regiunea VEST, Anul 2011, Numar persoane, 2039176
Total, Total, Total, Regiunea VEST, Anul 2012, Numar persoane, 2033912
Total, Total, Total, Regiunea VEST, Anul 2013, Numar persoane, 2028454
Total, Total, Total, Regiunea VEST, Anul 2014, Numar persoane, 2022867
Total, Total, Total, Regiunea VEST, Anul 2016, Numar persoane, 2013548
Total, Total, Total, Regiunea VEST, Anul 2017, Numar persoane, 2008539
Total, Total, Total, Arad, Anul 1992, Numar persoane, 491404
Total, Total, Total, Arad, Anul 1993, Numar persoane, 488793
Total, Total, Total, Arad, Anul 1994, Numar persoane, 488321
Total, Total, Total, Arad, Anul 1995, Numar persoane, 486819
Total, Total, Total, Arad, Anul 1996, Numar persoane, 485230
Total, Total, Total, Arad, Anul 1997, Numar persoane, 484143
Total, Total, Total, Arad, Anul 1998, Numar persoane, 484067
Total, Total, Total, Arad, Anul 1999, Numar persoane, 484012
Total, Total, Total, Arad, Anul 2000, Numar persoane, 484408
Total, Total, Total, Arad, Anul 2001, Numar persoane, 484471
Total, Total, Total, Arad, Anul 2002, Numar persoane, 483792
Total, Total, Total, Arad, Anul 2003, Numar persoane, 483503
Total, Total, Total, Arad, Anul 2004, Numar persoane, 482887
Total, Total, Total, Arad, Anul 2005, Numar persoane, 481990
Total, Total, Total, Arad, Anul 2006, Numar persoane, 481486
Total, Total, Total, Arad, Anul 2007, Numar persoane, 481353
Total, Total, Total, Arad, Anul 2008, Numar persoane, 481476
Total, Total, Total, Arad, Anul 2009, Numar persoane, 480989
Total, Total, Total, Arad, Anul 2010, Numar persoane, 480430
Total, Total, Total, Arad, Anul 2011, Numar persoane, 479615
Total, Total, Total, Arad, Anul 2012, Numar persoane, 478418
Total, Total, Total, Arad, Anul 2013, Numar persoane, 477355
Total, Total, Total, Arad, Anul 2014, Numar persoane, 475841
Total, Total, Total, Arad, Anul 2016, Numar persoane, 473680
Total, Total, Total, Arad, Anul 2017, Numar persoane, 472493
Total, Total, Total, Caras-Severin, Anul 1992, Numar persoane, 373105
Total, Total, Total, Caras-Severin, Anul 1993, Numar persoane, 370775
Total, Total, Total, Caras-Severin, Anul 1994, Numar persoane, 369380
Total, Total, Total, Caras-Severin, Anul 1995, Numar persoane, 367074
Total, Total, Total, Caras-Severin, Anul 1996, Numar persoane, 363754
Total, Total, Total, Caras-Severin, Anul 1997, Numar persoane, 361828
Total, Total, Total, Caras-Severin, Anul 1998, Numar persoane, 359602
Total, Total, Total, Caras-Severin, Anul 1999, Numar persoane, 357749
Total, Total, Total, Caras-Severin, Anul 2000, Numar persoane, 355962
Total, Total, Total, Caras-Severin, Anul 2001, Numar persoane, 354884
Total, Total, Total, Caras-Severin, Anul 2002, Numar persoane, 354040
Total, Total, Total, Caras-Severin, Anul 2003, Numar persoane, 353571
Total, Total, Total, Caras-Severin, Anul 2004, Numar persoane, 352851
Total, Total, Total, Caras-Severin, Anul 2005, Numar persoane, 351823
Total, Total, Total, Caras-Severin, Anul 2006, Numar persoane, 350624
Total, Total, Total, Caras-Severin, Anul 2007, Numar persoane, 348393
Total, Total, Total, Caras-Severin, Anul 2008, Numar persoane, 346907
Total, Total, Total, Caras-Severin, Anul 2009, Numar persoane, 345170
Total, Total, Total, Caras-Severin, Anul 2010, Numar persoane, 343120
Total, Total, Total, Caras-Severin, Anul 2011, Numar persoane, 340288
Total, Total, Total, Caras-Severin, Anul 2012, Numar persoane, 337941
Total, Total, Total, Caras-Severin, Anul 2013, Numar persoane, 335275
Total, Total, Total, Caras-Severin, Anul 2014, Numar persoane, 332267
Total, Total, Total, Caras-Severin, Anul 2016, Numar persoane, 326867
Total, Total, Total, Caras-Severin, Anul 2017, Numar persoane, 323655
Total, Total, Total, Hunedoara, Anul 1992, Numar persoane, 545064
Total, Total, Total, Hunedoara, Anul 1993, Numar persoane, 544580
Total, Total, Total, Hunedoara, Anul 1994, Numar persoane, 544020
Total, Total, Total, Hunedoara, Anul 1995, Numar persoane, 543392
Total, Total, Total, Hunedoara, Anul 1996, Numar persoane, 541197
Total, Total, Total, Hunedoara, Anul 1997, Numar persoane, 540463
Total, Total, Total, Hunedoara, Anul 1998, Numar persoane, 532761
Total, Total, Total, Hunedoara, Anul 1999, Numar persoane, 528373
Total, Total, Total, Hunedoara, Anul 2000, Numar persoane, 524857
Total, Total, Total, Hunedoara, Anul 2001, Numar persoane, 522184
Total, Total, Total, Hunedoara, Anul 2002, Numar persoane, 518765
Total, Total, Total, Hunedoara, Anul 2003, Numar persoane, 515466
Total, Total, Total, Hunedoara, Anul 2004, Numar persoane, 511378
Total, Total, Total, Hunedoara, Anul 2005, Numar persoane, 507765
Total, Total, Total, Hunedoara, Anul 2006, Numar persoane, 504370
Total, Total, Total, Hunedoara, Anul 2007, Numar persoane, 500805
Total, Total, Total, Hunedoara, Anul 2008, Numar persoane, 497792
Total, Total, Total, Hunedoara, Anul 2009, Numar persoane, 494923
Total, Total, Total, Hunedoara, Anul 2010, Numar persoane, 491816
Total, Total, Total, Hunedoara, Anul 2011, Numar persoane, 487612
Total, Total, Total, Hunedoara, Anul 2012, Numar persoane, 483653
Total, Total, Total, Hunedoara, Anul 2013, Numar persoane, 479719
Total, Total, Total, Hunedoara, Anul 2014, Numar persoane, 475542
Total, Total, Total, Hunedoara, Anul 2016, Numar persoane, 468041
Total, Total, Total, Hunedoara, Anul 2017, Numar persoane, 463888
Total, Total, Total, Timis, Anul 1992, Numar persoane, 710291
Total, Total, Total, Timis, Anul 1993, Numar persoane, 714036
Total, Total, Total, Timis, Anul 1994, Numar persoane, 713999
Total, Total, Total, Timis, Anul 1995, Numar persoane, 712864
Total, Total, Total, Timis, Anul 1996, Numar persoane, 711355
Total, Total, Total, Timis, Anul 1997, Numar persoane, 710522
Total, Total, Total, Timis, Anul 1998, Numar persoane, 710495
Total, Total, Total, Timis, Anul 1999, Numar persoane, 710085
Total, Total, Total, Timis, Anul 2000, Numar persoane, 708898
Total, Total, Total, Timis, Anul 2001, Numar persoane, 710442
Total, Total, Total, Timis, Anul 2002, Numar persoane, 710965
Total, Total, Total, Timis, Anul 2003, Numar persoane, 710824
Total, Total, Total, Timis, Anul 2004, Numar persoane, 711459
Total, Total, Total, Timis, Anul 2005, Numar persoane, 712322
Total, Total, Total, Timis, Anul 2006, Numar persoane, 714618
Total, Total, Total, Timis, Anul 2007, Numar persoane, 718346
Total, Total, Total, Timis, Anul 2008, Numar persoane, 722155
Total, Total, Total, Timis, Anul 2009, Numar persoane, 725396
Total, Total, Total, Timis, Anul 2010, Numar persoane, 728116
Total, Total, Total, Timis, Anul 2011, Numar persoane, 731661
Total, Total, Total, Timis, Anul 2012, Numar persoane, 733900
Total, Total, Total, Timis, Anul 2013, Numar persoane, 736105
Total, Total, Total, Timis, Anul 2014, Numar persoane, 739217
Total, Total, Total, Timis, Anul 2016, Numar persoane, 744960
Total, Total, Total, Timis, Anul 2017, Numar persoane, 748503
