Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Total, Total, Sibiu, Anul 1993, Numar persoane, 458074
Total, Total, Total, Sibiu, Anul 1994, Numar persoane, 457521
Total, Total, Total, Sibiu, Anul 1995, Numar persoane, 457161
Total, Total, Total, Sibiu, Anul 1996, Numar persoane, 455721
Total, Total, Total, Sibiu, Anul 1997, Numar persoane, 455181
Total, Total, Total, Sibiu, Anul 1998, Numar persoane, 454536
Total, Total, Total, Sibiu, Anul 1999, Numar persoane, 454293
Total, Total, Total, Sibiu, Anul 2000, Numar persoane, 454892
Total, Total, Total, Sibiu, Anul 2001, Numar persoane, 455144
Total, Total, Total, Sibiu, Anul 2002, Numar persoane, 455014
Total, Total, Total, Sibiu, Anul 2003, Numar persoane, 454836
Total, Total, Total, Sibiu, Anul 2004, Numar persoane, 454964
Total, Total, Total, Sibiu, Anul 2005, Numar persoane, 455192
Total, Total, Total, Sibiu, Anul 2006, Numar persoane, 456180
Total, Total, Total, Sibiu, Anul 2007, Numar persoane, 456523
Total, Total, Total, Sibiu, Anul 2008, Numar persoane, 457982
Total, Total, Total, Sibiu, Anul 2009, Numar persoane, 459286
Total, Total, Total, Sibiu, Anul 2010, Numar persoane, 460610
Total, Total, Total, Sibiu, Anul 2011, Numar persoane, 461720
Total, Total, Total, Sibiu, Anul 2012, Numar persoane, 462298
Total, Total, Total, Sibiu, Anul 2013, Numar persoane, 462806
Total, Total, Total, Sibiu, Anul 2014, Numar persoane, 463436
Total, Total, Total, Sibiu, Anul 2016, Numar persoane, 464686
Total, Total, Total, Sibiu, Anul 2017, Numar persoane, 465870
