Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Brasov, Anul 1992, Numar, 225
Brasov, Anul 1993, Numar, 519
Brasov, Anul 1994, Numar, 420
Brasov, Anul 1995, Numar, 347
Brasov, Anul 1996, Numar, 268
Brasov, Anul 1997, Numar, 271
Brasov, Anul 1998, Numar, 259
Brasov, Anul 1999, Numar, 233
Brasov, Anul 2000, Numar, 302
Brasov, Anul 2001, Numar, 218
Brasov, Anul 2002, Numar, 165
Brasov, Anul 2003, Numar, 173
Brasov, Anul 2004, Numar, 198
Brasov, Anul 2005, Numar, 137
Brasov, Anul 2006, Numar, 166
Brasov, Anul 2007, Numar, 178
Brasov, Anul 2008, Numar, 247
Brasov, Anul 2009, Numar, 258
Brasov, Anul 2010, Numar, 259
Brasov, Anul 2011, Numar, 266
Brasov, Anul 2012, Numar, 281
Brasov, Anul 2013, Numar, 282
Brasov, Anul 2014, Numar, 275
Brasov, Anul 2015, Numar, 303
Brasov, Anul 2016, Numar, 290
Brasov, Anul 2017, Numar, 302
Covasna, Anul 1992, Numar, 121
Covasna, Anul 1993, Numar, 125
Covasna, Anul 1994, Numar, 147
Covasna, Anul 1995, Numar, 108
Covasna, Anul 1996, Numar, 102
Covasna, Anul 1997, Numar, 102
Covasna, Anul 1998, Numar, 93
Covasna, Anul 1999, Numar, 120
Covasna, Anul 2000, Numar, 106
Covasna, Anul 2001, Numar, 92
Covasna, Anul 2002, Numar, 60
Covasna, Anul 2003, Numar, 64
Covasna, Anul 2004, Numar, 63
Covasna, Anul 2005, Numar, 38
Covasna, Anul 2006, Numar, 49
Covasna, Anul 2007, Numar, 48
Covasna, Anul 2008, Numar, 84
Covasna, Anul 2009, Numar, 92
Covasna, Anul 2010, Numar, 91
Covasna, Anul 2011, Numar, 96
Covasna, Anul 2012, Numar, 96
Covasna, Anul 2013, Numar, 98
Covasna, Anul 2014, Numar, 94
Covasna, Anul 2015, Numar, 105
Covasna, Anul 2016, Numar, 104
Covasna, Anul 2017, Numar, 108
Harghita, Anul 1992, Numar, 230
Harghita, Anul 1993, Numar, 103
Harghita, Anul 1994, Numar, 175
Harghita, Anul 1995, Numar, 133
Harghita, Anul 1996, Numar, 112
Harghita, Anul 1997, Numar, 112
Harghita, Anul 1998, Numar, 119
Harghita, Anul 1999, Numar, 139
Harghita, Anul 2000, Numar, 164
Harghita, Anul 2001, Numar, 81
Harghita, Anul 2002, Numar, 112
Harghita, Anul 2003, Numar, 119
Harghita, Anul 2004, Numar, 146
Harghita, Anul 2005, Numar, 88
Harghita, Anul 2006, Numar, 95
Harghita, Anul 2007, Numar, 102
Harghita, Anul 2008, Numar, 179
Harghita, Anul 2009, Numar, 183
Harghita, Anul 2010, Numar, 180
Harghita, Anul 2011, Numar, 201
Harghita, Anul 2012, Numar, 213
Harghita, Anul 2013, Numar, 197
Harghita, Anul 2014, Numar, 183
Harghita, Anul 2015, Numar, 202
Harghita, Anul 2016, Numar, 193
Harghita, Anul 2017, Numar, 197
Mures, Anul 1992, Numar, 400
Mures, Anul 1993, Numar, 316
Mures, Anul 1994, Numar, 272
Mures, Anul 1995, Numar, 260
Mures, Anul 1996, Numar, 330
Mures, Anul 1997, Numar, 330
Mures, Anul 1998, Numar, 258
Mures, Anul 1999, Numar, 254
Mures, Anul 2000, Numar, 316
Mures, Anul 2001, Numar, 302
Mures, Anul 2002, Numar, 171
Mures, Anul 2003, Numar, 174
Mures, Anul 2004, Numar, 215
Mures, Anul 2005, Numar, 91
Mures, Anul 2006, Numar, 96
Mures, Anul 2007, Numar, 107
Mures, Anul 2008, Numar, 219
Mures, Anul 2009, Numar, 233
Mures, Anul 2010, Numar, 240
Mures, Anul 2011, Numar, 260
Mures, Anul 2012, Numar, 262
Mures, Anul 2013, Numar, 266
Mures, Anul 2014, Numar, 213
Mures, Anul 2015, Numar, 326
Mures, Anul 2016, Numar, 235
Mures, Anul 2017, Numar, 228
Sibiu, Anul 1992, Numar, 69
Sibiu, Anul 1993, Numar, 178
Sibiu, Anul 1994, Numar, 252
Sibiu, Anul 1995, Numar, 250
Sibiu, Anul 1996, Numar, 211
Sibiu, Anul 1997, Numar, 211
Sibiu, Anul 1998, Numar, 177
Sibiu, Anul 1999, Numar, 172
Sibiu, Anul 2000, Numar, 181
Sibiu, Anul 2001, Numar, 133
Sibiu, Anul 2002, Numar, 113
Sibiu, Anul 2003, Numar, 114
