Categorii de cinematografe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar spectacole, Valoare
Cinematografe si instalatii cinematografice - total, Salaj, Anul 2005, Numar spectacole, 627
Cinematografe si instalatii cinematografice - total, Salaj, Anul 2006, Numar spectacole, 180
Cinematografe si instalatii cinematografice - total, Salaj, Anul 2007, Numar spectacole, 34
Cinematografe si instalatii cinematografice - total, Regiunea CENTRU, Anul 1990, Numar spectacole, 175176
Cinematografe si instalatii cinematografice - total, Regiunea CENTRU, Anul 1991, Numar spectacole, 114242
Cinematografe si instalatii cinematografice - total, Regiunea CENTRU, Anul 1992, Numar spectacole, 83814
Cinematografe si instalatii cinematografice - total, Regiunea CENTRU, Anul 1993, Numar spectacole, 68120
Cinematografe si instalatii cinematografice - total, Regiunea CENTRU, Anul 1994, Numar spectacole, 51079
Cinematografe si instalatii cinematografice - total, Regiunea CENTRU, Anul 1995, Numar spectacole, 42358
Cinematografe si instalatii cinematografice - total, Regiunea CENTRU, Anul 1996, Numar spectacole, 38213
Cinematografe si instalatii cinematografice - total, Regiunea CENTRU, Anul 1997, Numar spectacole, 34417
Cinematografe si instalatii cinematografice - total, Regiunea CENTRU, Anul 2002, Numar spectacole, 20664
Cinematografe si instalatii cinematografice - total, Regiunea CENTRU, Anul 2003, Numar spectacole, 16352
Cinematografe si instalatii cinematografice - total, Regiunea CENTRU, Anul 2004, Numar spectacole, 13149
Cinematografe si instalatii cinematografice - total, Regiunea CENTRU, Anul 2005, Numar spectacole, 11999
Cinematografe si instalatii cinematografice - total, Regiunea CENTRU, Anul 2006, Numar spectacole, 7997
Cinematografe si instalatii cinematografice - total, Regiunea CENTRU, Anul 2007, Numar spectacole, 7326
Cinematografe si instalatii cinematografice - total, Regiunea CENTRU, Anul 2008, Numar spectacole, 6784
Cinematografe si instalatii cinematografice - total, Regiunea CENTRU, Anul 2009, Numar spectacole, 3818
Cinematografe si instalatii cinematografice - total, Regiunea CENTRU, Anul 2010, Numar spectacole, 8671
Cinematografe si instalatii cinematografice - total, Regiunea CENTRU, Anul 2011, Numar spectacole, 9060
Cinematografe si instalatii cinematografice - total, Regiunea CENTRU, Anul 2012, Numar spectacole, 23736
Cinematografe si instalatii cinematografice - total, Regiunea CENTRU, Anul 2013, Numar spectacole, 23505
Cinematografe si instalatii cinematografice - total, Regiunea CENTRU, Anul 2014, Numar spectacole, 24500
Cinematografe si instalatii cinematografice - total, Regiunea CENTRU, Anul 2015, Numar spectacole, 36533
Cinematografe si instalatii cinematografice - total, Regiunea CENTRU, Anul 2016, Numar spectacole, 40776
Cinematografe si instalatii cinematografice - total, Regiunea CENTRU, Anul 2017, Numar spectacole, 40246
Cinematografe si instalatii cinematografice - total, Alba, Anul 1990, Numar spectacole, 27358
Cinematografe si instalatii cinematografice - total, Alba, Anul 1991, Numar spectacole, 17252
Cinematografe si instalatii cinematografice - total, Alba, Anul 1992, Numar spectacole, 11543
Cinematografe si instalatii cinematografice - total, Alba, Anul 1993, Numar spectacole, 9634
Cinematografe si instalatii cinematografice - total, Alba, Anul 1994, Numar spectacole, 6763
Cinematografe si instalatii cinematografice - total, Alba, Anul 1995, Numar spectacole, 5388
Cinematografe si instalatii cinematografice - total, Alba, Anul 1996, Numar spectacole, 4122
Cinematografe si instalatii cinematografice - total, Alba, Anul 1997, Numar spectacole, 2866
Cinematografe si instalatii cinematografice - total, Alba, Anul 2002, Numar spectacole, 1506
Cinematografe si instalatii cinematografice - total, Alba, Anul 2003, Numar spectacole, 1294
Cinematografe si instalatii cinematografice - total, Alba, Anul 2004, Numar spectacole, 1154
Cinematografe si instalatii cinematografice - total, Alba, Anul 2005, Numar spectacole, 924
Cinematografe si instalatii cinematografice - total, Alba, Anul 2006, Numar spectacole, 716
Cinematografe si instalatii cinematografice - total, Alba, Anul 2007, Numar spectacole, 719
Cinematografe si instalatii cinematografice - total, Alba, Anul 2008, Numar spectacole, 487
Cinematografe si instalatii cinematografice - total, Alba, Anul 2009, Numar spectacole, 347
Cinematografe si instalatii cinematografice - total, Alba, Anul 2010, Numar spectacole, 355
Cinematografe si instalatii cinematografice - total, Alba, Anul 2011, Numar spectacole, 370
Cinematografe si instalatii cinematografice - total, Alba, Anul 2012, Numar spectacole, 329
Cinematografe si instalatii cinematografice - total, Alba, Anul 2013, Numar spectacole, 339
Cinematografe si instalatii cinematografice - total, Alba, Anul 2014, Numar spectacole, 2332
Cinematografe si instalatii cinematografice - total, Alba, Anul 2015, Numar spectacole, 1757
Cinematografe si instalatii cinematografice - total, Alba, Anul 2016, Numar spectacole, 5425
Cinematografe si instalatii cinematografice - total, Alba, Anul 2017, Numar spectacole, 5128
