Categorii de cinematografe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar spectacole, Valoare
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA PATRU, Anul 1991, Numar spectacole, 207791
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA PATRU, Anul 1992, Numar spectacole, 141552
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA PATRU, Anul 1993, Numar spectacole, 113494
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA PATRU, Anul 1994, Numar spectacole, 93397
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA PATRU, Anul 1995, Numar spectacole, 73959
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA PATRU, Anul 1996, Numar spectacole, 61781
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA PATRU, Anul 1997, Numar spectacole, 55998
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA PATRU, Anul 2002, Numar spectacole, 30776
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA PATRU, Anul 2003, Numar spectacole, 26819
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA PATRU, Anul 2004, Numar spectacole, 18528
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA PATRU, Anul 2005, Numar spectacole, 10179
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA PATRU, Anul 2006, Numar spectacole, 8701
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA PATRU, Anul 2007, Numar spectacole, 9407
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA PATRU, Anul 2008, Numar spectacole, 19119
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA PATRU, Anul 2009, Numar spectacole, 17239
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA PATRU, Anul 2010, Numar spectacole, 22338
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA PATRU, Anul 2011, Numar spectacole, 37442
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA PATRU, Anul 2012, Numar spectacole, 47801
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA PATRU, Anul 2013, Numar spectacole, 52040
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA PATRU, Anul 2014, Numar spectacole, 59375
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA PATRU, Anul 2015, Numar spectacole, 75825
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA PATRU, Anul 2016, Numar spectacole, 113206
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA PATRU, Anul 2017, Numar spectacole, 110054
Cinematografe si instalatii cinematografice - total, Regiunea SUD-VEST OLTENIA, Anul 1990, Numar spectacole, 156481
Cinematografe si instalatii cinematografice - total, Regiunea SUD-VEST OLTENIA, Anul 1991, Numar spectacole, 112708
Cinematografe si instalatii cinematografice - total, Regiunea SUD-VEST OLTENIA, Anul 1992, Numar spectacole, 78102
Cinematografe si instalatii cinematografice - total, Regiunea SUD-VEST OLTENIA, Anul 1993, Numar spectacole, 59463
Cinematografe si instalatii cinematografice - total, Regiunea SUD-VEST OLTENIA, Anul 1994, Numar spectacole, 45075
Cinematografe si instalatii cinematografice - total, Regiunea SUD-VEST OLTENIA, Anul 1995, Numar spectacole, 33345
Cinematografe si instalatii cinematografice - total, Regiunea SUD-VEST OLTENIA, Anul 1996, Numar spectacole, 26817
Cinematografe si instalatii cinematografice - total, Regiunea SUD-VEST OLTENIA, Anul 1997, Numar spectacole, 22935
Cinematografe si instalatii cinematografice - total, Regiunea SUD-VEST OLTENIA, Anul 2002, Numar spectacole, 11648
Cinematografe si instalatii cinematografice - total, Regiunea SUD-VEST OLTENIA, Anul 2003, Numar spectacole, 10572
Cinematografe si instalatii cinematografice - total, Regiunea SUD-VEST OLTENIA, Anul 2004, Numar spectacole, 7075
Cinematografe si instalatii cinematografice - total, Regiunea SUD-VEST OLTENIA, Anul 2005, Numar spectacole, 3625
Cinematografe si instalatii cinematografice - total, Regiunea SUD-VEST OLTENIA, Anul 2006, Numar spectacole, 2767
Cinematografe si instalatii cinematografice - total, Regiunea SUD-VEST OLTENIA, Anul 2007, Numar spectacole, 2795
Cinematografe si instalatii cinematografice - total, Regiunea SUD-VEST OLTENIA, Anul 2008, Numar spectacole, 2549
Cinematografe si instalatii cinematografice - total, Regiunea SUD-VEST OLTENIA, Anul 2009, Numar spectacole, 2281
Cinematografe si instalatii cinematografice - total, Regiunea SUD-VEST OLTENIA, Anul 2010, Numar spectacole, 2669
Cinematografe si instalatii cinematografice - total, Regiunea SUD-VEST OLTENIA, Anul 2011, Numar spectacole, 3237
Cinematografe si instalatii cinematografice - total, Regiunea SUD-VEST OLTENIA, Anul 2012, Numar spectacole, 2709
Cinematografe si instalatii cinematografice - total, Regiunea SUD-VEST OLTENIA, Anul 2013, Numar spectacole, 7064
Cinematografe si instalatii cinematografice - total, Regiunea SUD-VEST OLTENIA, Anul 2014, Numar spectacole, 14970
Cinematografe si instalatii cinematografice - total, Regiunea SUD-VEST OLTENIA, Anul 2015, Numar spectacole, 26912
Cinematografe si instalatii cinematografice - total, Regiunea SUD-VEST OLTENIA, Anul 2016, Numar spectacole, 40899
Cinematografe si instalatii cinematografice - total, Regiunea SUD-VEST OLTENIA, Anul 2017, Numar spectacole, 42148
Cinematografe si instalatii cinematografice - total, Dolj, Anul 1990, Numar spectacole, 42512
Cinematografe si instalatii cinematografice - total, Dolj, Anul 1991, Numar spectacole, 30933
Cinematografe si instalatii cinematografice - total, Dolj, Anul 1992, Numar spectacole, 25179
Cinematografe si instalatii cinematografice - total, Dolj, Anul 1993, Numar spectacole, 20348
Cinematografe si instalatii cinematografice - total, Dolj, Anul 1994, Numar spectacole, 17235
Cinematografe si instalatii cinematografice - total, Dolj, Anul 1995, Numar spectacole, 9827
Cinematografe si instalatii cinematografice - total, Dolj, Anul 1996, Numar spectacole, 7710
Cinematografe si instalatii cinematografice - total, Dolj, Anul 1997, Numar spectacole, 6314
Cinematografe si instalatii cinematografice - total, Dolj, Anul 2002, Numar spectacole, 4454
Cinematografe si instalatii cinematografice - total, Dolj, Anul 2003, Numar spectacole, 4391
Cinematografe si instalatii cinematografice - total, Dolj, Anul 2004, Numar spectacole, 3385
Cinematografe si instalatii cinematografice - total, Dolj, Anul 2005, Numar spectacole, 2172
Cinematografe si instalatii cinematografice - total, Dolj, Anul 2006, Numar spectacole, 2303
Cinematografe si instalatii cinematografice - total, Dolj, Anul 2007, Numar spectacole, 2484
Cinematografe si instalatii cinematografice - total, Dolj, Anul 2008, Numar spectacole, 1912
Cinematografe si instalatii cinematografice - total, Dolj, Anul 2009, Numar spectacole, 1326
Cinematografe si instalatii cinematografice - total, Dolj, Anul 2010, Numar spectacole, 1712
Cinematografe si instalatii cinematografice - total, Dolj, Anul 2011, Numar spectacole, 2067
Cinematografe si instalatii cinematografice - total, Dolj, Anul 2012, Numar spectacole, 1812
Cinematografe si instalatii cinematografice - total, Dolj, Anul 2013, Numar spectacole, 3720
Cinematografe si instalatii cinematografice - total, Dolj, Anul 2014, Numar spectacole, 4971
Cinematografe si instalatii cinematografice - total, Dolj, Anul 2015, Numar spectacole, 5089
Cinematografe si instalatii cinematografice - total, Dolj, Anul 2016, Numar spectacole, 12137
Cinematografe si instalatii cinematografice - total, Dolj, Anul 2017, Numar spectacole, 14699
Cinematografe si instalatii cinematografice - total, Gorj, Anul 1990, Numar spectacole, 23282
Cinematografe si instalatii cinematografice - total, Gorj, Anul 1991, Numar spectacole, 15616
Cinematografe si instalatii cinematografice - total, Gorj, Anul 1992, Numar spectacole, 10218
Cinematografe si instalatii cinematografice - total, Gorj, Anul 1993, Numar spectacole, 9082
Cinematografe si instalatii cinematografice - total, Gorj, Anul 1994, Numar spectacole, 6249
Cinematografe si instalatii cinematografice - total, Gorj, Anul 1995, Numar spectacole, 4493
Cinematografe si instalatii cinematografice - total, Gorj, Anul 1996, Numar spectacole, 3156
Cinematografe si instalatii cinematografice - total, Gorj, Anul 1997, Numar spectacole, 2828
Cinematografe si instalatii cinematografice - total, Gorj, Anul 2002, Numar spectacole, 1373
Cinematografe si instalatii cinematografice - total, Gorj, Anul 2003, Numar spectacole, 1210
Cinematografe si instalatii cinematografice - total, Gorj, Anul 2004, Numar spectacole, 1081
Cinematografe si instalatii cinematografice - total, Gorj, Anul 2005, Numar spectacole, 701
Cinematografe si instalatii cinematografice - total, Gorj, Anul 2006, Numar spectacole, 315
Cinematografe si instalatii cinematografice - total, Gorj, Anul 2007, Numar spectacole, 204
Cinematografe si instalatii cinematografice - total, Gorj, Anul 2008, Numar spectacole, 286
Cinematografe si instalatii cinematografice - total, Gorj, Anul 2009, Numar spectacole, 285
Cinematografe si instalatii cinematografice - total, Gorj, Anul 2010, Numar spectacole, 329
Cinematografe si instalatii cinematografice - total, Gorj, Anul 2011, Numar spectacole, 325
Cinematografe si instalatii cinematografice - total, Gorj, Anul 2012, Numar spectacole, 157
Cinematografe si instalatii cinematografice - total, Gorj, Anul 2013, Numar spectacole, 1273
Cinematografe si instalatii cinematografice - total, Gorj, Anul 2014, Numar spectacole, 3646
Cinematografe si instalatii cinematografice - total, Gorj, Anul 2015, Numar spectacole, 12130
Cinematografe si instalatii cinematografice - total, Gorj, Anul 2016, Numar spectacole, 11402
Cinematografe si instalatii cinematografice - total, Gorj, Anul 2017, Numar spectacole, 11216
Cinematografe si instalatii cinematografice - total, Mehedinti, Anul 1990, Numar spectacole, 21659
Cinematografe si instalatii cinematografice - total, Mehedinti, Anul 1991, Numar spectacole, 14086
Cinematografe si instalatii cinematografice - total, Mehedinti, Anul 1992, Numar spectacole, 10125
Cinematografe si instalatii cinematografice - total, Mehedinti, Anul 1993, Numar spectacole, 6849
Cinematografe si instalatii cinematografice - total, Mehedinti, Anul 1994, Numar spectacole, 1662
Cinematografe si instalatii cinematografice - total, Mehedinti, Anul 1995, Numar spectacole, 4127
Cinematografe si instalatii cinematografice - total, Mehedinti, Anul 1996, Numar spectacole, 3451
Cinematografe si instalatii cinematografice - total, Mehedinti, Anul 1997, Numar spectacole, 2847
Cinematografe si instalatii cinematografice - total, Mehedinti, Anul 2002, Numar spectacole, 1690
Cinematografe si instalatii cinematografice - total, Mehedinti, Anul 2003, Numar spectacole, 1660
Cinematografe si instalatii cinematografice - total, Mehedinti, Anul 2004, Numar spectacole, 752
Cinematografe si instalatii cinematografice - total, Mehedinti, Anul 2015, Numar spectacole, 2128
Cinematografe si instalatii cinematografice - total, Mehedinti, Anul 2016, Numar spectacole, 10110
Cinematografe si instalatii cinematografice - total, Mehedinti, Anul 2017, Numar spectacole, 10186
Cinematografe si instalatii cinematografice - total, Olt, Anul 1990, Numar spectacole, 37937
Cinematografe si instalatii cinematografice - total, Olt, Anul 1991, Numar spectacole, 27941
Cinematografe si instalatii cinematografice - total, Olt, Anul 1992, Numar spectacole, 15303
Cinematografe si instalatii cinematografice - total, Olt, Anul 1993, Numar spectacole, 12085
Cinematografe si instalatii cinematografice - total, Olt, Anul 1994, Numar spectacole, 9032
Cinematografe si instalatii cinematografice - total, Olt, Anul 1995, Numar spectacole, 6690
Cinematografe si instalatii cinematografice - total, Olt, Anul 1996, Numar spectacole, 5606
Cinematografe si instalatii cinematografice - total, Olt, Anul 1997, Numar spectacole, 4957
Cinematografe si instalatii cinematografice - total, Olt, Anul 2002, Numar spectacole, 1915
Cinematografe si instalatii cinematografice - total, Olt, Anul 2003, Numar spectacole, 1581
Cinematografe si instalatii cinematografice - total, Olt, Anul 2004, Numar spectacole, 548
Cinematografe si instalatii cinematografice - total, Olt, Anul 2006, Numar spectacole, 7
Cinematografe si instalatii cinematografice - total, Olt, Anul 2013, Numar spectacole, 1451
Cinematografe si instalatii cinematografice - total, Olt, Anul 2014, Numar spectacole, 3696
Cinematografe si instalatii cinematografice - total, Olt, Anul 2015, Numar spectacole, 3771
Cinematografe si instalatii cinematografice - total, Olt, Anul 2016, Numar spectacole, 3585
Cinematografe si instalatii cinematografice - total, Olt, Anul 2017, Numar spectacole, 3258
Cinematografe si instalatii cinematografice - total, Valcea, Anul 1990, Numar spectacole, 31091
Cinematografe si instalatii cinematografice - total, Valcea, Anul 1991, Numar spectacole, 24132
Cinematografe si instalatii cinematografice - total, Valcea, Anul 1992, Numar spectacole, 17277
Cinematografe si instalatii cinematografice - total, Valcea, Anul 1993, Numar spectacole, 11099
Cinematografe si instalatii cinematografice - total, Valcea, Anul 1994, Numar spectacole, 10897
Cinematografe si instalatii cinematografice - total, Valcea, Anul 1995, Numar spectacole, 8208
Cinematografe si instalatii cinematografice - total, Valcea, Anul 1996, Numar spectacole, 6894
Cinematografe si instalatii cinematografice - total, Valcea, Anul 1997, Numar spectacole, 5989
Cinematografe si instalatii cinematografice - total, Valcea, Anul 2002, Numar spectacole, 2216
Cinematografe si instalatii cinematografice - total, Valcea, Anul 2003, Numar spectacole, 1730
Cinematografe si instalatii cinematografice - total, Valcea, Anul 2004, Numar spectacole, 1309
Cinematografe si instalatii cinematografice - total, Valcea, Anul 2005, Numar spectacole, 752
Cinematografe si instalatii cinematografice - total, Valcea, Anul 2006, Numar spectacole, 142
Cinematografe si instalatii cinematografice - total, Valcea, Anul 2007, Numar spectacole, 107
Cinematografe si instalatii cinematografice - total, Valcea, Anul 2008, Numar spectacole, 351
Cinematografe si instalatii cinematografice - total, Valcea, Anul 2009, Numar spectacole, 670
Cinematografe si instalatii cinematografice - total, Valcea, Anul 2010, Numar spectacole, 628
Cinematografe si instalatii cinematografice - total, Valcea, Anul 2011, Numar spectacole, 845
Cinematografe si instalatii cinematografice - total, Valcea, Anul 2012, Numar spectacole, 740
Cinematografe si instalatii cinematografice - total, Valcea, Anul 2013, Numar spectacole, 620
Cinematografe si instalatii cinematografice - total, Valcea, Anul 2014, Numar spectacole, 2657
Cinematografe si instalatii cinematografice - total, Valcea, Anul 2015, Numar spectacole, 3794
Cinematografe si instalatii cinematografice - total, Valcea, Anul 2016, Numar spectacole, 3665
Cinematografe si instalatii cinematografice - total, Valcea, Anul 2017, Numar spectacole, 2789
Cinematografe si instalatii cinematografice - total, Regiunea VEST, Anul 1990, Numar spectacole, 155656
Cinematografe si instalatii cinematografice - total, Regiunea VEST, Anul 1991, Numar spectacole, 95083
Cinematografe si instalatii cinematografice - total, Regiunea VEST, Anul 1992, Numar spectacole, 63450
Cinematografe si instalatii cinematografice - total, Regiunea VEST, Anul 1993, Numar spectacole, 54031
Cinematografe si instalatii cinematografice - total, Regiunea VEST, Anul 1994, Numar spectacole, 48322
Cinematografe si instalatii cinematografice - total, Regiunea VEST, Anul 1995, Numar spectacole, 40614
Cinematografe si instalatii cinematografice - total, Regiunea VEST, Anul 1996, Numar spectacole, 34964
Cinematografe si instalatii cinematografice - total, Regiunea VEST, Anul 1997, Numar spectacole, 33063
Cinematografe si instalatii cinematografice - total, Regiunea VEST, Anul 2002, Numar spectacole, 19128
Cinematografe si instalatii cinematografice - total, Regiunea VEST, Anul 2003, Numar spectacole, 16247
Cinematografe si instalatii cinematografice - total, Regiunea VEST, Anul 2004, Numar spectacole, 11453
Cinematografe si instalatii cinematografice - total, Regiunea VEST, Anul 2005, Numar spectacole, 6554
Cinematografe si instalatii cinematografice - total, Regiunea VEST, Anul 2006, Numar spectacole, 5934
Cinematografe si instalatii cinematografice - total, Regiunea VEST, Anul 2007, Numar spectacole, 6612
Cinematografe si instalatii cinematografice - total, Regiunea VEST, Anul 2008, Numar spectacole, 16570
Cinematografe si instalatii cinematografice - total, Regiunea VEST, Anul 2009, Numar spectacole, 14958
Cinematografe si instalatii cinematografice - total, Regiunea VEST, Anul 2010, Numar spectacole, 19669
Cinematografe si instalatii cinematografice - total, Regiunea VEST, Anul 2011, Numar spectacole, 34205
Cinematografe si instalatii cinematografice - total, Regiunea VEST, Anul 2012, Numar spectacole, 45092
Cinematografe si instalatii cinematografice - total, Regiunea VEST, Anul 2013, Numar spectacole, 44976
Cinematografe si instalatii cinematografice - total, Regiunea VEST, Anul 2014, Numar spectacole, 44405
Cinematografe si instalatii cinematografice - total, Regiunea VEST, Anul 2015, Numar spectacole, 48913
Cinematografe si instalatii cinematografice - total, Regiunea VEST, Anul 2016, Numar spectacole, 72307
Cinematografe si instalatii cinematografice - total, Regiunea VEST, Anul 2017, Numar spectacole, 67906
Cinematografe si instalatii cinematografice - total, Arad, Anul 1990, Numar spectacole, 34295
Cinematografe si instalatii cinematografice - total, Arad, Anul 1991, Numar spectacole, 18165
Cinematografe si instalatii cinematografice - total, Arad, Anul 1992, Numar spectacole, 11201
Cinematografe si instalatii cinematografice - total, Arad, Anul 1993, Numar spectacole, 12127
Cinematografe si instalatii cinematografice - total, Arad, Anul 1994, Numar spectacole, 11195
Cinematografe si instalatii cinematografice - total, Arad, Anul 1995, Numar spectacole, 9727
Cinematografe si instalatii cinematografice - total, Arad, Anul 1996, Numar spectacole, 8397
Cinematografe si instalatii cinematografice - total, Arad, Anul 1997, Numar spectacole, 8137
Cinematografe si instalatii cinematografice - total, Arad, Anul 2002, Numar spectacole, 5039
Cinematografe si instalatii cinematografice - total, Arad, Anul 2003, Numar spectacole, 4575
Cinematografe si instalatii cinematografice - total, Arad, Anul 2004, Numar spectacole, 2770
Cinematografe si instalatii cinematografice - total, Arad, Anul 2005, Numar spectacole, 1622
Cinematografe si instalatii cinematografice - total, Arad, Anul 2006, Numar spectacole, 1957
Cinematografe si instalatii cinematografice - total, Arad, Anul 2007, Numar spectacole, 2234
Cinematografe si instalatii cinematografice - total, Arad, Anul 2008, Numar spectacole, 1864
Cinematografe si instalatii cinematografice - total, Arad, Anul 2009, Numar spectacole, 1219
Cinematografe si instalatii cinematografice - total, Arad, Anul 2010, Numar spectacole, 6165
Cinematografe si instalatii cinematografice - total, Arad, Anul 2011, Numar spectacole, 20555
Cinematografe si instalatii cinematografice - total, Arad, Anul 2012, Numar spectacole, 31519
Cinematografe si instalatii cinematografice - total, Arad, Anul 2013, Numar spectacole, 31600
Cinematografe si instalatii cinematografice - total, Arad, Anul 2014, Numar spectacole, 30495
Cinematografe si instalatii cinematografice - total, Arad, Anul 2015, Numar spectacole, 30818
Cinematografe si instalatii cinematografice - total, Arad, Anul 2016, Numar spectacole, 28002
Cinematografe si instalatii cinematografice - total, Arad, Anul 2017, Numar spectacole, 17290
Cinematografe si instalatii cinematografice - total, Caras-Severin, Anul 1990, Numar spectacole, 24759
Cinematografe si instalatii cinematografice - total, Caras-Severin, Anul 1991, Numar spectacole, 17351
Cinematografe si instalatii cinematografice - total, Caras-Severin, Anul 1992, Numar spectacole, 12973
Cinematografe si instalatii cinematografice - total, Caras-Severin, Anul 1993, Numar spectacole, 10085
Cinematografe si instalatii cinematografice - total, Caras-Severin, Anul 1994, Numar spectacole, 9798
Cinematografe si instalatii cinematografice - total, Caras-Severin, Anul 1995, Numar spectacole, 8700
Cinematografe si instalatii cinematografice - total, Caras-Severin, Anul 1996, Numar spectacole, 6953
Cinematografe si instalatii cinematografice - total, Caras-Severin, Anul 1997, Numar spectacole, 6739
Cinematografe si instalatii cinematografice - total, Caras-Severin, Anul 2002, Numar spectacole, 2984
Cinematografe si instalatii cinematografice - total, Caras-Severin, Anul 2003, Numar spectacole, 2456
Cinematografe si instalatii cinematografice - total, Caras-Severin, Anul 2004, Numar spectacole, 1884
Cinematografe si instalatii cinematografice - total, Caras-Severin, Anul 2005, Numar spectacole, 730
Cinematografe si instalatii cinematografice - total, Caras-Severin, Anul 2006, Numar spectacole, 296
Cinematografe si instalatii cinematografice - total, Caras-Severin, Anul 2007, Numar spectacole, 270
Cinematografe si instalatii cinematografice - total, Caras-Severin, Anul 2008, Numar spectacole, 78
Cinematografe si instalatii cinematografice - total, Caras-Severin, Anul 2011, Numar spectacole, 37
Cinematografe si instalatii cinematografice - total, Caras-Severin, Anul 2015, Numar spectacole, 1111
Cinematografe si instalatii cinematografice - total, Caras-Severin, Anul 2016, Numar spectacole, 2115
Cinematografe si instalatii cinematografice - total, Caras-Severin, Anul 2017, Numar spectacole, 2402
Cinematografe si instalatii cinematografice - total, Hunedoara, Anul 1990, Numar spectacole, 43499
Cinematografe si instalatii cinematografice - total, Hunedoara, Anul 1991, Numar spectacole, 23974
Cinematografe si instalatii cinematografice - total, Hunedoara, Anul 1992, Numar spectacole, 16503
Cinematografe si instalatii cinematografice - total, Hunedoara, Anul 1993, Numar spectacole, 14758
Cinematografe si instalatii cinematografice - total, Hunedoara, Anul 1994, Numar spectacole, 13339
Cinematografe si instalatii cinematografice - total, Hunedoara, Anul 1995, Numar spectacole, 10771
Cinematografe si instalatii cinematografice - total, Hunedoara, Anul 1996, Numar spectacole, 9257
Cinematografe si instalatii cinematografice - total, Hunedoara, Anul 1997, Numar spectacole, 8157
Cinematografe si instalatii cinematografice - total, Hunedoara, Anul 2002, Numar spectacole, 4546
Cinematografe si instalatii cinematografice - total, Hunedoara, Anul 2003, Numar spectacole, 3193
Cinematografe si instalatii cinematografice - total, Hunedoara, Anul 2004, Numar spectacole, 1915
Cinematografe si instalatii cinematografice - total, Hunedoara, Anul 2005, Numar spectacole, 736
Cinematografe si instalatii cinematografice - total, Hunedoara, Anul 2006, Numar spectacole, 623
Cinematografe si instalatii cinematografice - total, Hunedoara, Anul 2007, Numar spectacole, 465
Cinematografe si instalatii cinematografice - total, Hunedoara, Anul 2008, Numar spectacole, 443
Cinematografe si instalatii cinematografice - total, Hunedoara, Anul 2009, Numar spectacole, 271
Cinematografe si instalatii cinematografice - total, Hunedoara, Anul 2010, Numar spectacole, 373
Cinematografe si instalatii cinematografice - total, Hunedoara, Anul 2011, Numar spectacole, 469
Cinematografe si instalatii cinematografice - total, Hunedoara, Anul 2012, Numar spectacole, 564
Cinematografe si instalatii cinematografice - total, Hunedoara, Anul 2013, Numar spectacole, 552
Cinematografe si instalatii cinematografice - total, Hunedoara, Anul 2014, Numar spectacole, 1251
Cinematografe si instalatii cinematografice - total, Hunedoara, Anul 2015, Numar spectacole, 3741
Cinematografe si instalatii cinematografice - total, Hunedoara, Anul 2016, Numar spectacole, 11289
Cinematografe si instalatii cinematografice - total, Hunedoara, Anul 2017, Numar spectacole, 11441
Cinematografe si instalatii cinematografice - total, Timis, Anul 1990, Numar spectacole, 53103
Cinematografe si instalatii cinematografice - total, Timis, Anul 1991, Numar spectacole, 35593
Cinematografe si instalatii cinematografice - total, Timis, Anul 1992, Numar spectacole, 22773
Cinematografe si instalatii cinematografice - total, Timis, Anul 1993, Numar spectacole, 17061
Cinematografe si instalatii cinematografice - total, Timis, Anul 1994, Numar spectacole, 13990
Cinematografe si instalatii cinematografice - total, Timis, Anul 1995, Numar spectacole, 11416
Cinematografe si instalatii cinematografice - total, Timis, Anul 1996, Numar spectacole, 10357
Cinematografe si instalatii cinematografice - total, Timis, Anul 1997, Numar spectacole, 10030
Cinematografe si instalatii cinematografice - total, Timis, Anul 2002, Numar spectacole, 6559
Cinematografe si instalatii cinematografice - total, Timis, Anul 2003, Numar spectacole, 6023
Cinematografe si instalatii cinematografice - total, Timis, Anul 2004, Numar spectacole, 4884
Cinematografe si instalatii cinematografice - total, Timis, Anul 2005, Numar spectacole, 3466
Cinematografe si instalatii cinematografice - total, Timis, Anul 2006, Numar spectacole, 3058
Cinematografe si instalatii cinematografice - total, Timis, Anul 2007, Numar spectacole, 3643
Cinematografe si instalatii cinematografice - total, Timis, Anul 2008, Numar spectacole, 14185
Cinematografe si instalatii cinematografice - total, Timis, Anul 2009, Numar spectacole, 13468
Cinematografe si instalatii cinematografice - total, Timis, Anul 2010, Numar spectacole, 13131
Cinematografe si instalatii cinematografice - total, Timis, Anul 2011, Numar spectacole, 13144
Cinematografe si instalatii cinematografice - total, Timis, Anul 2012, Numar spectacole, 13009
Cinematografe si instalatii cinematografice - total, Timis, Anul 2013, Numar spectacole, 12824
Cinematografe si instalatii cinematografice - total, Timis, Anul 2014, Numar spectacole, 12659
Cinematografe si instalatii cinematografice - total, Timis, Anul 2015, Numar spectacole, 13243
Cinematografe si instalatii cinematografice - total, Timis, Anul 2016, Numar spectacole, 30901
Cinematografe si instalatii cinematografice - total, Timis, Anul 2017, Numar spectacole, 36773
