Niveluri de instruire, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Total, Harghita, Anul 2012, Numar persoane, 56156
Total, Total, Harghita, Anul 2013, Numar persoane, 54352
Total, Total, Harghita, Anul 2014, Numar persoane, 54347
Total, Total, Harghita, Anul 2015, Numar persoane, 53550
Total, Total, Harghita, Anul 2016, Numar persoane, 52808
Total, Total, Harghita, Anul 2017, Numar persoane, 52388
Total, Total, Mures, Anul 1995, Numar persoane, 114487
Total, Total, Mures, Anul 1996, Numar persoane, 115471
Total, Total, Mures, Anul 1997, Numar persoane, 115848
Total, Total, Mures, Anul 1998, Numar persoane, 115957
Total, Total, Mures, Anul 1999, Numar persoane, 113722
Total, Total, Mures, Anul 2000, Numar persoane, 115158
Total, Total, Mures, Anul 2001, Numar persoane, 115607
Total, Total, Mures, Anul 2002, Numar persoane, 114346
Total, Total, Mures, Anul 2003, Numar persoane, 114060
Total, Total, Mures, Anul 2004, Numar persoane, 113217
Total, Total, Mures, Anul 2005, Numar persoane, 111991
Total, Total, Mures, Anul 2006, Numar persoane, 110582
Total, Total, Mures, Anul 2007, Numar persoane, 110582
Total, Total, Mures, Anul 2008, Numar persoane, 108774
Total, Total, Mures, Anul 2009, Numar persoane, 108903
Total, Total, Mures, Anul 2010, Numar persoane, 108018
Total, Total, Mures, Anul 2011, Numar persoane, 105119
Total, Total, Mures, Anul 2012, Numar persoane, 104523
Total, Total, Mures, Anul 2013, Numar persoane, 101993
Total, Total, Mures, Anul 2014, Numar persoane, 103955
Total, Total, Mures, Anul 2015, Numar persoane, 99823
Total, Total, Mures, Anul 2016, Numar persoane, 99196
Total, Total, Mures, Anul 2017, Numar persoane, 98397
Total, Total, Sibiu, Anul 1995, Numar persoane, 106629
Total, Total, Sibiu, Anul 1996, Numar persoane, 106135
Total, Total, Sibiu, Anul 1997, Numar persoane, 103967
Total, Total, Sibiu, Anul 1998, Numar persoane, 102244
Total, Total, Sibiu, Anul 1999, Numar persoane, 100127
Total, Total, Sibiu, Anul 2000, Numar persoane, 99119
Total, Total, Sibiu, Anul 2001, Numar persoane, 102521
Total, Total, Sibiu, Anul 2002, Numar persoane, 105060
Total, Total, Sibiu, Anul 2003, Numar persoane, 102055
Total, Total, Sibiu, Anul 2004, Numar persoane, 99162
Total, Total, Sibiu, Anul 2005, Numar persoane, 97588
Total, Total, Sibiu, Anul 2006, Numar persoane, 99553
Total, Total, Sibiu, Anul 2007, Numar persoane, 97347
Total, Total, Sibiu, Anul 2008, Numar persoane, 95237
Total, Total, Sibiu, Anul 2009, Numar persoane, 93365
Total, Total, Sibiu, Anul 2010, Numar persoane, 90204
Total, Total, Sibiu, Anul 2011, Numar persoane, 85016
Total, Total, Sibiu, Anul 2012, Numar persoane, 82894
Total, Total, Sibiu, Anul 2013, Numar persoane, 80722
Total, Total, Sibiu, Anul 2014, Numar persoane, 83418
Total, Total, Sibiu, Anul 2015, Numar persoane, 81842
Total, Total, Sibiu, Anul 2016, Numar persoane, 81503
Total, Total, Sibiu, Anul 2017, Numar persoane, 80869
Total, Total, MACROREGIUNEA DOI, Anul 1995, Numar persoane, 1410589
Total, Total, MACROREGIUNEA DOI, Anul 1996, Numar persoane, 1408491
Total, Total, MACROREGIUNEA DOI, Anul 1997, Numar persoane, 1391848
Total, Total, MACROREGIUNEA DOI, Anul 1998, Numar persoane, 1391448
Total, Total, MACROREGIUNEA DOI, Anul 1999, Numar persoane, 1378109
Total, Total, MACROREGIUNEA DOI, Anul 2000, Numar persoane, 1374209
Total, Total, MACROREGIUNEA DOI, Anul 2001, Numar persoane, 1370037
Total, Total, MACROREGIUNEA DOI, Anul 2002, Numar persoane, 1352881
Total, Total, MACROREGIUNEA DOI, Anul 2003, Numar persoane, 1346658
Total, Total, MACROREGIUNEA DOI, Anul 2004, Numar persoane, 1319871
Total, Total, MACROREGIUNEA DOI, Anul 2005, Numar persoane, 1290241
Total, Total, MACROREGIUNEA DOI, Anul 2006, Numar persoane, 1267089
Total, Total, MACROREGIUNEA DOI, Anul 2007, Numar persoane, 1257264
Total, Total, MACROREGIUNEA DOI, Anul 2008, Numar persoane, 1230234
Total, Total, MACROREGIUNEA DOI, Anul 2009, Numar persoane, 1216037
Total, Total, MACROREGIUNEA DOI, Anul 2010, Numar persoane, 1193389
Total, Total, MACROREGIUNEA DOI, Anul 2011, Numar persoane, 1152491
Total, Total, MACROREGIUNEA DOI, Anul 2012, Numar persoane, 1131315
Total, Total, MACROREGIUNEA DOI, Anul 2013, Numar persoane, 1104360
Total, Total, MACROREGIUNEA DOI, Anul 2014, Numar persoane, 1112514
Total, Total, MACROREGIUNEA DOI, Anul 2015, Numar persoane, 1081164
Total, Total, MACROREGIUNEA DOI, Anul 2016, Numar persoane, 1060935
Total, Total, MACROREGIUNEA DOI, Anul 2017, Numar persoane, 1046178
Total, Total, Regiunea NORD-EST, Anul 1995, Numar persoane, 820585
Total, Total, Regiunea NORD-EST, Anul 1996, Numar persoane, 820602
Total, Total, Regiunea NORD-EST, Anul 1997, Numar persoane, 809173
Total, Total, Regiunea NORD-EST, Anul 1998, Numar persoane, 814135
Total, Total, Regiunea NORD-EST, Anul 1999, Numar persoane, 811118
Total, Total, Regiunea NORD-EST, Anul 2000, Numar persoane, 808275
Total, Total, Regiunea NORD-EST, Anul 2001, Numar persoane, 810709
Total, Total, Regiunea NORD-EST, Anul 2002, Numar persoane, 802145
Total, Total, Regiunea NORD-EST, Anul 2003, Numar persoane, 801723
Total, Total, Regiunea NORD-EST, Anul 2004, Numar persoane, 789422
Total, Total, Regiunea NORD-EST, Anul 2005, Numar persoane, 771342
Total, Total, Regiunea NORD-EST, Anul 2006, Numar persoane, 756694
