Forme de proprietate, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Total, Salaj, Anul 2014, Numar, 4
Total, Salaj, Anul 2015, Numar, 3
Total, Salaj, Anul 2016, Numar, 3
Total, Salaj, Anul 2017, Numar, 4
Total, Regiunea CENTRU, Anul 1990, Numar, 18
Total, Regiunea CENTRU, Anul 1991, Numar, 30
Total, Regiunea CENTRU, Anul 1992, Numar, 30
Total, Regiunea CENTRU, Anul 1993, Numar, 31
Total, Regiunea CENTRU, Anul 1994, Numar, 31
Total, Regiunea CENTRU, Anul 1995, Numar, 44
Total, Regiunea CENTRU, Anul 1996, Numar, 52
Total, Regiunea CENTRU, Anul 1997, Numar, 60
Total, Regiunea CENTRU, Anul 1998, Numar, 64
Total, Regiunea CENTRU, Anul 1999, Numar, 73
Total, Regiunea CENTRU, Anul 2000, Numar, 78
Total, Regiunea CENTRU, Anul 2001, Numar, 93
Total, Regiunea CENTRU, Anul 2002, Numar, 100
Total, Regiunea CENTRU, Anul 2003, Numar, 102
Total, Regiunea CENTRU, Anul 2004, Numar, 100
Total, Regiunea CENTRU, Anul 2005, Numar, 102
Total, Regiunea CENTRU, Anul 2006, Numar, 101
Total, Regiunea CENTRU, Anul 2007, Numar, 79
Total, Regiunea CENTRU, Anul 2008, Numar, 74
Total, Regiunea CENTRU, Anul 2009, Numar, 75
Total, Regiunea CENTRU, Anul 2010, Numar, 78
Total, Regiunea CENTRU, Anul 2011, Numar, 76
Total, Regiunea CENTRU, Anul 2012, Numar, 73
Total, Regiunea CENTRU, Anul 2013, Numar, 73
Total, Regiunea CENTRU, Anul 2014, Numar, 73
Total, Regiunea CENTRU, Anul 2015, Numar, 69
Total, Regiunea CENTRU, Anul 2016, Numar, 66
Total, Regiunea CENTRU, Anul 2017, Numar, 66
Total, Alba, Anul 1991, Numar, 2
Total, Alba, Anul 1992, Numar, 2
Total, Alba, Anul 1993, Numar, 3
Total, Alba, Anul 1994, Numar, 3
Total, Alba, Anul 1995, Numar, 10
Total, Alba, Anul 1996, Numar, 10
Total, Alba, Anul 1997, Numar, 11
Total, Alba, Anul 1998, Numar, 11
Total, Alba, Anul 1999, Numar, 13
Total, Alba, Anul 2000, Numar, 15
Total, Alba, Anul 2001, Numar, 17
Total, Alba, Anul 2002, Numar, 17
Total, Alba, Anul 2003, Numar, 16
Total, Alba, Anul 2004, Numar, 14
Total, Alba, Anul 2005, Numar, 15
Total, Alba, Anul 2006, Numar, 12
Total, Alba, Anul 2007, Numar, 10
Total, Alba, Anul 2008, Numar, 10
Total, Alba, Anul 2009, Numar, 9
Total, Alba, Anul 2010, Numar, 9
Total, Alba, Anul 2011, Numar, 10
Total, Alba, Anul 2012, Numar, 9
Total, Alba, Anul 2013, Numar, 9
Total, Alba, Anul 2014, Numar, 9
Total, Alba, Anul 2015, Numar, 8
Total, Alba, Anul 2016, Numar, 8
Total, Alba, Anul 2017, Numar, 8
Total, Brasov, Anul 1990, Numar, 9
Total, Brasov, Anul 1991, Numar, 12
Total, Brasov, Anul 1992, Numar, 12
Total, Brasov, Anul 1993, Numar, 12
Total, Brasov, Anul 1994, Numar, 12
Total, Brasov, Anul 1995, Numar, 13
Total, Brasov, Anul 1996, Numar, 16
Total, Brasov, Anul 1997, Numar, 20
Total, Brasov, Anul 1998, Numar, 22
Total, Brasov, Anul 1999, Numar, 22
Total, Brasov, Anul 2000, Numar, 22
Total, Brasov, Anul 2001, Numar, 27
Total, Brasov, Anul 2002, Numar, 29
Total, Brasov, Anul 2003, Numar, 29
Total, Brasov, Anul 2004, Numar, 31
Total, Brasov, Anul 2005, Numar, 28
Total, Brasov, Anul 2006, Numar, 26
Total, Brasov, Anul 2007, Numar, 25
Total, Brasov, Anul 2008, Numar, 23
Total, Brasov, Anul 2009, Numar, 23
Total, Brasov, Anul 2010, Numar, 25
Total, Brasov, Anul 2011, Numar, 27
Total, Brasov, Anul 2012, Numar, 27
Total, Brasov, Anul 2013, Numar, 27
Total, Brasov, Anul 2014, Numar, 27
Total, Brasov, Anul 2015, Numar, 25
Total, Brasov, Anul 2016, Numar, 23
Total, Brasov, Anul 2017, Numar, 22
Total, Covasna, Anul 1997, Numar, 1
Total, Covasna, Anul 1998, Numar, 2
Total, Covasna, Anul 1999, Numar, 4
Total, Covasna, Anul 2000, Numar, 4
Total, Covasna, Anul 2001, Numar, 4
Total, Covasna, Anul 2002, Numar, 4
Total, Covasna, Anul 2003, Numar, 4
Total, Covasna, Anul 2004, Numar, 4
Total, Covasna, Anul 2005, Numar, 5
Total, Covasna, Anul 2006, Numar, 5
Total, Covasna, Anul 2007, Numar, 2
Total, Covasna, Anul 2008, Numar, 2
Total, Covasna, Anul 2009, Numar, 2
Total, Covasna, Anul 2010, Numar, 2
Total, Covasna, Anul 2011, Numar, 2
Total, Covasna, Anul 2012, Numar, 2
Total, Covasna, Anul 2013, Numar, 2
Total, Covasna, Anul 2014, Numar, 2
Total, Covasna, Anul 2015, Numar, 2
Total, Covasna, Anul 2016, Numar, 2
Total, Covasna, Anul 2017, Numar, 2
Total, Harghita, Anul 1997, Numar, 1
Total, Harghita, Anul 1998, Numar, 1
Total, Harghita, Anul 1999, Numar, 4
Total, Harghita, Anul 2000, Numar, 4
Total, Harghita, Anul 2001, Numar, 4
Total, Harghita, Anul 2002, Numar, 4
Total, Harghita, Anul 2003, Numar, 5
Total, Harghita, Anul 2004, Numar, 5
Total, Harghita, Anul 2005, Numar, 8
Total, Harghita, Anul 2006, Numar, 8
Total, Harghita, Anul 2007, Numar, 4
Total, Harghita, Anul 2008, Numar, 4
Total, Harghita, Anul 2009, Numar, 4
Total, Harghita, Anul 2010, Numar, 5
Total, Harghita, Anul 2011, Numar, 5
Total, Harghita, Anul 2012, Numar, 4
Total, Harghita, Anul 2013, Numar, 4
Total, Harghita, Anul 2014, Numar, 4
Total, Harghita, Anul 2015, Numar, 3
Total, Harghita, Anul 2016, Numar, 3
Total, Harghita, Anul 2017, Numar, 3
Total, Mures, Anul 1990, Numar, 5
Total, Mures, Anul 1991, Numar, 6
Total, Mures, Anul 1992, Numar, 6
Total, Mures, Anul 1993, Numar, 6
Total, Mures, Anul 1994, Numar, 6
Total, Mures, Anul 1995, Numar, 8
Total, Mures, Anul 1996, Numar, 13
Total, Mures, Anul 1997, Numar, 14
Total, Mures, Anul 1998, Numar, 14
Total, Mures, Anul 1999, Numar, 13
Total, Mures, Anul 2000, Numar, 14
Total, Mures, Anul 2001, Numar, 16
Total, Mures, Anul 2002, Numar, 17
Total, Mures, Anul 2003, Numar, 19
Total, Mures, Anul 2004, Numar, 19
Total, Mures, Anul 2005, Numar, 19
Total, Mures, Anul 2006, Numar, 21
Total, Mures, Anul 2007, Numar, 17
Total, Mures, Anul 2008, Numar, 16
Total, Mures, Anul 2009, Numar, 16
Total, Mures, Anul 2010, Numar, 16
Total, Mures, Anul 2011, Numar, 16
Total, Mures, Anul 2012, Numar, 15
Total, Mures, Anul 2013, Numar, 15
Total, Mures, Anul 2014, Numar, 15
Total, Mures, Anul 2015, Numar, 15
Total, Mures, Anul 2016, Numar, 15
Total, Mures, Anul 2017, Numar, 16
Total, Sibiu, Anul 1990, Numar, 4
Total, Sibiu, Anul 1991, Numar, 10
Total, Sibiu, Anul 1992, Numar, 10
Total, Sibiu, Anul 1993, Numar, 10
Total, Sibiu, Anul 1994, Numar, 10
Total, Sibiu, Anul 1995, Numar, 13
Total, Sibiu, Anul 1996, Numar, 13
Total, Sibiu, Anul 1997, Numar, 13
Total, Sibiu, Anul 1998, Numar, 14
Total, Sibiu, Anul 1999, Numar, 17
Total, Sibiu, Anul 2000, Numar, 19
Total, Sibiu, Anul 2001, Numar, 25
Total, Sibiu, Anul 2002, Numar, 29
Total, Sibiu, Anul 2003, Numar, 29
Total, Sibiu, Anul 2004, Numar, 27
Total, Sibiu, Anul 2005, Numar, 27
Total, Sibiu, Anul 2006, Numar, 29
Total, Sibiu, Anul 2007, Numar, 21
Total, Sibiu, Anul 2008, Numar, 19
Total, Sibiu, Anul 2009, Numar, 21
Total, Sibiu, Anul 2010, Numar, 21
Total, Sibiu, Anul 2011, Numar, 16
Total, Sibiu, Anul 2012, Numar, 16
Total, Sibiu, Anul 2013, Numar, 16
Total, Sibiu, Anul 2014, Numar, 16
Total, Sibiu, Anul 2015, Numar, 16
Total, Sibiu, Anul 2016, Numar, 15
Total, Sibiu, Anul 2017, Numar, 15
Total, MACROREGIUNEA DOI, Anul 1990, Numar, 47
Total, MACROREGIUNEA DOI, Anul 1991, Numar, 61
Total, MACROREGIUNEA DOI, Anul 1992, Numar, 61
