Forme de proprietate, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Proprietate publica, Alba, Anul 2007, Numar, 8
Proprietate publica, Alba, Anul 2008, Numar, 8
Proprietate publica, Alba, Anul 2009, Numar, 7
Proprietate publica, Alba, Anul 2010, Numar, 7
Proprietate publica, Alba, Anul 2011, Numar, 7
Proprietate publica, Alba, Anul 2012, Numar, 7
Proprietate publica, Alba, Anul 2013, Numar, 7
Proprietate publica, Alba, Anul 2014, Numar, 8
Proprietate publica, Alba, Anul 2015, Numar, 8
Proprietate publica, Alba, Anul 2016, Numar, 8
Proprietate publica, Alba, Anul 2017, Numar, 8
Proprietate publica, Brasov, Anul 1990, Numar, 9
Proprietate publica, Brasov, Anul 1991, Numar, 12
Proprietate publica, Brasov, Anul 1992, Numar, 12
Proprietate publica, Brasov, Anul 1993, Numar, 12
Proprietate publica, Brasov, Anul 1994, Numar, 12
Proprietate publica, Brasov, Anul 1995, Numar, 13
Proprietate publica, Brasov, Anul 1996, Numar, 13
Proprietate publica, Brasov, Anul 1997, Numar, 13
Proprietate publica, Brasov, Anul 1998, Numar, 13
Proprietate publica, Brasov, Anul 1999, Numar, 13
Proprietate publica, Brasov, Anul 2000, Numar, 13
Proprietate publica, Brasov, Anul 2001, Numar, 17
Proprietate publica, Brasov, Anul 2002, Numar, 18
Proprietate publica, Brasov, Anul 2003, Numar, 19
Proprietate publica, Brasov, Anul 2004, Numar, 19
Proprietate publica, Brasov, Anul 2005, Numar, 20
Proprietate publica, Brasov, Anul 2006, Numar, 20
Proprietate publica, Brasov, Anul 2007, Numar, 19
Proprietate publica, Brasov, Anul 2008, Numar, 17
Proprietate publica, Brasov, Anul 2009, Numar, 17
Proprietate publica, Brasov, Anul 2010, Numar, 19
Proprietate publica, Brasov, Anul 2011, Numar, 19
Proprietate publica, Brasov, Anul 2012, Numar, 19
Proprietate publica, Brasov, Anul 2013, Numar, 19
Proprietate publica, Brasov, Anul 2014, Numar, 19
Proprietate publica, Brasov, Anul 2015, Numar, 19
Proprietate publica, Brasov, Anul 2016, Numar, 19
Proprietate publica, Brasov, Anul 2017, Numar, 20
Proprietate publica, Covasna, Anul 1997, Numar, 1
Proprietate publica, Covasna, Anul 1998, Numar, 2
Proprietate publica, Covasna, Anul 1999, Numar, 4
Proprietate publica, Covasna, Anul 2000, Numar, 4
Proprietate publica, Covasna, Anul 2001, Numar, 4
Proprietate publica, Covasna, Anul 2002, Numar, 4
Proprietate publica, Covasna, Anul 2003, Numar, 4
Proprietate publica, Covasna, Anul 2004, Numar, 4
Proprietate publica, Covasna, Anul 2005, Numar, 5
Proprietate publica, Covasna, Anul 2006, Numar, 5
Proprietate publica, Covasna, Anul 2007, Numar, 2
Proprietate publica, Covasna, Anul 2008, Numar, 2
Proprietate publica, Covasna, Anul 2009, Numar, 2
Proprietate publica, Covasna, Anul 2010, Numar, 2
Proprietate publica, Covasna, Anul 2011, Numar, 2
Proprietate publica, Covasna, Anul 2012, Numar, 2
Proprietate publica, Covasna, Anul 2013, Numar, 2
Proprietate publica, Covasna, Anul 2014, Numar, 2
Proprietate publica, Covasna, Anul 2015, Numar, 2
Proprietate publica, Covasna, Anul 2016, Numar, 2
Proprietate publica, Covasna, Anul 2017, Numar, 2
Proprietate publica, Harghita, Anul 1997, Numar, 1
Proprietate publica, Harghita, Anul 1998, Numar, 1
Proprietate publica, Harghita, Anul 1999, Numar, 4
Proprietate publica, Harghita, Anul 2000, Numar, 4
Proprietate publica, Harghita, Anul 2001, Numar, 4
Proprietate publica, Harghita, Anul 2002, Numar, 4
Proprietate publica, Harghita, Anul 2003, Numar, 4
Proprietate publica, Harghita, Anul 2004, Numar, 4
Proprietate publica, Harghita, Anul 2005, Numar, 7
Proprietate publica, Harghita, Anul 2006, Numar, 7
Proprietate publica, Harghita, Anul 2007, Numar, 3
Proprietate publica, Harghita, Anul 2008, Numar, 3
Proprietate publica, Harghita, Anul 2009, Numar, 3
Proprietate publica, Harghita, Anul 2010, Numar, 3
Proprietate publica, Harghita, Anul 2011, Numar, 3
Proprietate publica, Harghita, Anul 2012, Numar, 2
Proprietate publica, Harghita, Anul 2013, Numar, 2
Proprietate publica, Harghita, Anul 2014, Numar, 2
Proprietate publica, Harghita, Anul 2015, Numar, 2
Proprietate publica, Harghita, Anul 2016, Numar, 2
Proprietate publica, Harghita, Anul 2017, Numar, 2
Proprietate publica, Mures, Anul 1990, Numar, 5
Proprietate publica, Mures, Anul 1991, Numar, 6
Proprietate publica, Mures, Anul 1992, Numar, 6
Proprietate publica, Mures, Anul 1993, Numar, 6
Proprietate publica, Mures, Anul 1994, Numar, 6
Proprietate publica, Mures, Anul 1995, Numar, 8
Proprietate publica, Mures, Anul 1996, Numar, 8
Proprietate publica, Mures, Anul 1997, Numar, 9
Proprietate publica, Mures, Anul 1998, Numar, 9
Proprietate publica, Mures, Anul 1999, Numar, 9
Proprietate publica, Mures, Anul 2000, Numar, 10
Proprietate publica, Mures, Anul 2001, Numar, 12
Proprietate publica, Mures, Anul 2002, Numar, 13
Proprietate publica, Mures, Anul 2003, Numar, 14
Proprietate publica, Mures, Anul 2004, Numar, 14
Proprietate publica, Mures, Anul 2005, Numar, 14
Proprietate publica, Mures, Anul 2006, Numar, 16
Proprietate publica, Mures, Anul 2007, Numar, 12
Proprietate publica, Mures, Anul 2008, Numar, 11
Proprietate publica, Mures, Anul 2009, Numar, 11
Proprietate publica, Mures, Anul 2010, Numar, 11
Proprietate publica, Mures, Anul 2011, Numar, 11
Proprietate publica, Mures, Anul 2012, Numar, 10
Proprietate publica, Mures, Anul 2013, Numar, 10
Proprietate publica, Mures, Anul 2014, Numar, 10
Proprietate publica, Mures, Anul 2015, Numar, 10
Proprietate publica, Mures, Anul 2016, Numar, 10
Proprietate publica, Mures, Anul 2017, Numar, 10
Proprietate publica, Sibiu, Anul 1990, Numar, 4
Proprietate publica, Sibiu, Anul 1991, Numar, 10
Proprietate publica, Sibiu, Anul 1992, Numar, 10
Proprietate publica, Sibiu, Anul 1993, Numar, 10
Proprietate publica, Sibiu, Anul 1994, Numar, 10
Proprietate publica, Sibiu, Anul 1995, Numar, 13
Proprietate publica, Sibiu, Anul 1996, Numar, 12
Proprietate publica, Sibiu, Anul 1997, Numar, 12
Proprietate publica, Sibiu, Anul 1998, Numar, 11
Proprietate publica, Sibiu, Anul 1999, Numar, 12
Proprietate publica, Sibiu, Anul 2000, Numar, 12
Proprietate publica, Sibiu, Anul 2001, Numar, 18
Proprietate publica, Sibiu, Anul 2002, Numar, 24
Proprietate publica, Sibiu, Anul 2003, Numar, 24
Proprietate publica, Sibiu, Anul 2004, Numar, 24
Proprietate publica, Sibiu, Anul 2005, Numar, 24
Proprietate publica, Sibiu, Anul 2006, Numar, 24
Proprietate publica, Sibiu, Anul 2007, Numar, 17
Proprietate publica, Sibiu, Anul 2008, Numar, 15
Proprietate publica, Sibiu, Anul 2009, Numar, 15
Proprietate publica, Sibiu, Anul 2010, Numar, 15
Proprietate publica, Sibiu, Anul 2011, Numar, 11
Proprietate publica, Sibiu, Anul 2012, Numar, 11
Proprietate publica, Sibiu, Anul 2013, Numar, 11
Proprietate publica, Sibiu, Anul 2014, Numar, 11
Proprietate publica, Sibiu, Anul 2015, Numar, 11
Proprietate publica, Sibiu, Anul 2016, Numar, 11
Proprietate publica, Sibiu, Anul 2017, Numar, 11
Proprietate publica, MACROREGIUNEA DOI, Anul 1990, Numar, 47
Proprietate publica, MACROREGIUNEA DOI, Anul 1991, Numar, 61
Proprietate publica, MACROREGIUNEA DOI, Anul 1992, Numar, 61
Proprietate publica, MACROREGIUNEA DOI, Anul 1993, Numar, 59
Proprietate publica, MACROREGIUNEA DOI, Anul 1994, Numar, 58
Proprietate publica, MACROREGIUNEA DOI, Anul 1995, Numar, 82
Proprietate publica, MACROREGIUNEA DOI, Anul 1996, Numar, 72
Proprietate publica, MACROREGIUNEA DOI, Anul 1997, Numar, 76
Proprietate publica, MACROREGIUNEA DOI, Anul 1998, Numar, 79
Proprietate publica, MACROREGIUNEA DOI, Anul 1999, Numar, 93
Proprietate publica, MACROREGIUNEA DOI, Anul 2000, Numar, 98
Proprietate publica, MACROREGIUNEA DOI, Anul 2001, Numar, 99
Proprietate publica, MACROREGIUNEA DOI, Anul 2002, Numar, 108
Proprietate publica, MACROREGIUNEA DOI, Anul 2003, Numar, 111
Proprietate publica, MACROREGIUNEA DOI, Anul 2004, Numar, 112
Proprietate publica, MACROREGIUNEA DOI, Anul 2005, Numar, 122
Proprietate publica, MACROREGIUNEA DOI, Anul 2006, Numar, 120
Proprietate publica, MACROREGIUNEA DOI, Anul 2007, Numar, 94
Proprietate publica, MACROREGIUNEA DOI, Anul 2008, Numar, 93
Proprietate publica, MACROREGIUNEA DOI, Anul 2009, Numar, 94
Proprietate publica, MACROREGIUNEA DOI, Anul 2010, Numar, 95
Proprietate publica, MACROREGIUNEA DOI, Anul 2011, Numar, 94
Proprietate publica, MACROREGIUNEA DOI, Anul 2012, Numar, 94
Proprietate publica, MACROREGIUNEA DOI, Anul 2013, Numar, 94
Proprietate publica, MACROREGIUNEA DOI, Anul 2014, Numar, 92
Proprietate publica, MACROREGIUNEA DOI, Anul 2015, Numar, 90
Proprietate publica, MACROREGIUNEA DOI, Anul 2016, Numar, 91
Proprietate publica, MACROREGIUNEA DOI, Anul 2017, Numar, 91
Proprietate publica, Regiunea NORD-EST, Anul 1990, Numar, 36
Proprietate publica, Regiunea NORD-EST, Anul 1991, Numar, 44
Proprietate publica, Regiunea NORD-EST, Anul 1992, Numar, 44
Proprietate publica, Regiunea NORD-EST, Anul 1993, Numar, 42
Proprietate publica, Regiunea NORD-EST, Anul 1994, Numar, 41
Proprietate publica, Regiunea NORD-EST, Anul 1995, Numar, 56
Proprietate publica, Regiunea NORD-EST, Anul 1996, Numar, 49
Proprietate publica, Regiunea NORD-EST, Anul 1997, Numar, 50
Proprietate publica, Regiunea NORD-EST, Anul 1998, Numar, 52
Proprietate publica, Regiunea NORD-EST, Anul 1999, Numar, 61
Proprietate publica, Regiunea NORD-EST, Anul 2000, Numar, 63
Proprietate publica, Regiunea NORD-EST, Anul 2001, Numar, 63
Proprietate publica, Regiunea NORD-EST, Anul 2002, Numar, 67
Proprietate publica, Regiunea NORD-EST, Anul 2003, Numar, 69
Proprietate publica, Regiunea NORD-EST, Anul 2004, Numar, 68
Proprietate publica, Regiunea NORD-EST, Anul 2005, Numar, 71
Proprietate publica, Regiunea NORD-EST, Anul 2006, Numar, 69
Proprietate publica, Regiunea NORD-EST, Anul 2007, Numar, 55
Proprietate publica, Regiunea NORD-EST, Anul 2008, Numar, 56
Proprietate publica, Regiunea NORD-EST, Anul 2009, Numar, 56
Proprietate publica, Regiunea NORD-EST, Anul 2010, Numar, 57
Proprietate publica, Regiunea NORD-EST, Anul 2011, Numar, 57
Proprietate publica, Regiunea NORD-EST, Anul 2012, Numar, 57
Proprietate publica, Regiunea NORD-EST, Anul 2013, Numar, 57
Proprietate publica, Regiunea NORD-EST, Anul 2014, Numar, 56
Proprietate publica, Regiunea NORD-EST, Anul 2015, Numar, 54
Proprietate publica, Regiunea NORD-EST, Anul 2016, Numar, 55
Proprietate publica, Regiunea NORD-EST, Anul 2017, Numar, 55
Proprietate publica, Bacau, Anul 1990, Numar, 2
Proprietate publica, Bacau, Anul 1991, Numar, 2
Proprietate publica, Bacau, Anul 1992, Numar, 2
Proprietate publica, Bacau, Anul 1993, Numar, 2
Proprietate publica, Bacau, Anul 1994, Numar, 2
Proprietate publica, Bacau, Anul 1995, Numar, 3
Proprietate publica, Bacau, Anul 1996, Numar, 3
Proprietate publica, Bacau, Anul 1997, Numar, 3
Proprietate publica, Bacau, Anul 1998, Numar, 3
Proprietate publica, Bacau, Anul 1999, Numar, 4
Proprietate publica, Bacau, Anul 2000, Numar, 4
Proprietate publica, Bacau, Anul 2001, Numar, 4
Proprietate publica, Bacau, Anul 2002, Numar, 5
Proprietate publica, Bacau, Anul 2003, Numar, 5
Proprietate publica, Bacau, Anul 2004, Numar, 5
Proprietate publica, Bacau, Anul 2005, Numar, 5
Proprietate publica, Bacau, Anul 2006, Numar, 6
Proprietate publica, Bacau, Anul 2007, Numar, 5
Proprietate publica, Bacau, Anul 2008, Numar, 6
Proprietate publica, Bacau, Anul 2009, Numar, 6
Proprietate publica, Bacau, Anul 2010, Numar, 6
Proprietate publica, Bacau, Anul 2011, Numar, 6
Proprietate publica, Bacau, Anul 2012, Numar, 6
Proprietate publica, Bacau, Anul 2013, Numar, 6
Proprietate publica, Bacau, Anul 2014, Numar, 6
Proprietate publica, Bacau, Anul 2015, Numar, 5
Proprietate publica, Bacau, Anul 2016, Numar, 5
Proprietate publica, Bacau, Anul 2017, Numar, 5
Proprietate publica, Botosani, Anul 1998, Numar, 1
Proprietate publica, Botosani, Anul 1999, Numar, 2
Proprietate publica, Botosani, Anul 2000, Numar, 1
Proprietate publica, Botosani, Anul 2001, Numar, 1
Proprietate publica, Botosani, Anul 2002, Numar, 1
Proprietate publica, Botosani, Anul 2003, Numar, 1
Proprietate publica, Botosani, Anul 2004, Numar, 1
Proprietate publica, Botosani, Anul 2005, Numar, 2
Proprietate publica, Botosani, Anul 2006, Numar, 1
Proprietate publica, Botosani, Anul 2007, Numar, 1
Proprietate publica, Botosani, Anul 2008, Numar, 1
Proprietate publica, Botosani, Anul 2009, Numar, 1
Proprietate publica, Botosani, Anul 2010, Numar, 1
Proprietate publica, Botosani, Anul 2011, Numar, 1
Proprietate publica, Botosani, Anul 2012, Numar, 1
Proprietate publica, Botosani, Anul 2013, Numar, 1
Proprietate publica, Botosani, Anul 2014, Numar, 1
Proprietate publica, Iasi, Anul 1990, Numar, 31
Proprietate publica, Iasi, Anul 1991, Numar, 37
Proprietate publica, Iasi, Anul 1992, Numar, 37
Proprietate publica, Iasi, Anul 1993, Numar, 35
Proprietate publica, Iasi, Anul 1994, Numar, 35
Proprietate publica, Iasi, Anul 1995, Numar, 48
Proprietate publica, Iasi, Anul 1996, Numar, 41
Proprietate publica, Iasi, Anul 1997, Numar, 42
Proprietate publica, Iasi, Anul 1998, Numar, 42
Proprietate publica, Iasi, Anul 1999, Numar, 45
Proprietate publica, Iasi, Anul 2000, Numar, 45
Proprietate publica, Iasi, Anul 2001, Numar, 45
Proprietate publica, Iasi, Anul 2002, Numar, 46
Proprietate publica, Iasi, Anul 2003, Numar, 48
Proprietate publica, Iasi, Anul 2004, Numar, 49
Proprietate publica, Iasi, Anul 2005, Numar, 47
Proprietate publica, Iasi, Anul 2006, Numar, 44
Proprietate publica, Iasi, Anul 2007, Numar, 37
Proprietate publica, Iasi, Anul 2008, Numar, 37
Proprietate publica, Iasi, Anul 2009, Numar, 37
Proprietate publica, Iasi, Anul 2010, Numar, 38
Proprietate publica, Iasi, Anul 2011, Numar, 37
Proprietate publica, Iasi, Anul 2012, Numar, 38
Proprietate publica, Iasi, Anul 2013, Numar, 38
Proprietate publica, Iasi, Anul 2014, Numar, 37
Proprietate publica, Iasi, Anul 2015, Numar, 37
Proprietate publica, Iasi, Anul 2016, Numar, 37
Proprietate publica, Iasi, Anul 2017, Numar, 37
Proprietate publica, Neamt, Anul 1998, Numar, 1
Proprietate publica, Neamt, Anul 1999, Numar, 3
Proprietate publica, Neamt, Anul 2000, Numar, 3
Proprietate publica, Neamt, Anul 2001, Numar, 2
Proprietate publica, Neamt, Anul 2002, Numar, 3
Proprietate publica, Neamt, Anul 2003, Numar, 3
Proprietate publica, Neamt, Anul 2004, Numar, 2
Proprietate publica, Neamt, Anul 2005, Numar, 4
Proprietate publica, Neamt, Anul 2006, Numar, 4
Proprietate publica, Neamt, Anul 2007, Numar, 2
Proprietate publica, Neamt, Anul 2008, Numar, 2
Proprietate publica, Neamt, Anul 2009, Numar, 2
Proprietate publica, Neamt, Anul 2010, Numar, 2
Proprietate publica, Neamt, Anul 2011, Numar, 2
Proprietate publica, Neamt, Anul 2012, Numar, 2
Proprietate publica, Neamt, Anul 2013, Numar, 2
Proprietate publica, Neamt, Anul 2014, Numar, 2
Proprietate publica, Neamt, Anul 2015, Numar, 2
Proprietate publica, Neamt, Anul 2016, Numar, 2
Proprietate publica, Neamt, Anul 2017, Numar, 2
Proprietate publica, Suceava, Anul 1990, Numar, 3
Proprietate publica, Suceava, Anul 1991, Numar, 5
Proprietate publica, Suceava, Anul 1992, Numar, 5
Proprietate publica, Suceava, Anul 1993, Numar, 5
Proprietate publica, Suceava, Anul 1994, Numar, 4
Proprietate publica, Suceava, Anul 1995, Numar, 5
Proprietate publica, Suceava, Anul 1996, Numar, 5
Proprietate publica, Suceava, Anul 1997, Numar, 5
Proprietate publica, Suceava, Anul 1998, Numar, 5
Proprietate publica, Suceava, Anul 1999, Numar, 6
Proprietate publica, Suceava, Anul 2000, Numar, 9
Proprietate publica, Suceava, Anul 2001, Numar, 10
Proprietate publica, Suceava, Anul 2002, Numar, 11
Proprietate publica, Suceava, Anul 2003, Numar, 11
Proprietate publica, Suceava, Anul 2004, Numar, 10
Proprietate publica, Suceava, Anul 2005, Numar, 12
Proprietate publica, Suceava, Anul 2006, Numar, 13
Proprietate publica, Suceava, Anul 2007, Numar, 10
Proprietate publica, Suceava, Anul 2008, Numar, 10
Proprietate publica, Suceava, Anul 2009, Numar, 10
Proprietate publica, Suceava, Anul 2010, Numar, 10
Proprietate publica, Suceava, Anul 2011, Numar, 11
Proprietate publica, Suceava, Anul 2012, Numar, 10
Proprietate publica, Suceava, Anul 2013, Numar, 10
Proprietate publica, Suceava, Anul 2014, Numar, 10
Proprietate publica, Suceava, Anul 2015, Numar, 10
Proprietate publica, Suceava, Anul 2016, Numar, 11
Proprietate publica, Suceava, Anul 2017, Numar, 11
Proprietate publica, Vaslui, Anul 1999, Numar, 1
Proprietate publica, Vaslui, Anul 2000, Numar, 1
Proprietate publica, Vaslui, Anul 2001, Numar, 1
Proprietate publica, Vaslui, Anul 2002, Numar, 1
Proprietate publica, Vaslui, Anul 2003, Numar, 1
Proprietate publica, Vaslui, Anul 2004, Numar, 1
Proprietate publica, Vaslui, Anul 2005, Numar, 1
Proprietate publica, Vaslui, Anul 2006, Numar, 1
Proprietate publica, Regiunea SUD-EST, Anul 1990, Numar, 11
Proprietate publica, Regiunea SUD-EST, Anul 1991, Numar, 17
Proprietate publica, Regiunea SUD-EST, Anul 1992, Numar, 17
Proprietate publica, Regiunea SUD-EST, Anul 1993, Numar, 17
Proprietate publica, Regiunea SUD-EST, Anul 1994, Numar, 17
Proprietate publica, Regiunea SUD-EST, Anul 1995, Numar, 26
Proprietate publica, Regiunea SUD-EST, Anul 1996, Numar, 23
Proprietate publica, Regiunea SUD-EST, Anul 1997, Numar, 26
Proprietate publica, Regiunea SUD-EST, Anul 1998, Numar, 27
Proprietate publica, Regiunea SUD-EST, Anul 1999, Numar, 32
Proprietate publica, Regiunea SUD-EST, Anul 2000, Numar, 35
Proprietate publica, Regiunea SUD-EST, Anul 2001, Numar, 36
Proprietate publica, Regiunea SUD-EST, Anul 2002, Numar, 41
Proprietate publica, Regiunea SUD-EST, Anul 2003, Numar, 42
Proprietate publica, Regiunea SUD-EST, Anul 2004, Numar, 44
Proprietate publica, Regiunea SUD-EST, Anul 2005, Numar, 51
Proprietate publica, Regiunea SUD-EST, Anul 2006, Numar, 51
Proprietate publica, Regiunea SUD-EST, Anul 2007, Numar, 39
Proprietate publica, Regiunea SUD-EST, Anul 2008, Numar, 37
Proprietate publica, Regiunea SUD-EST, Anul 2009, Numar, 38
Proprietate publica, Regiunea SUD-EST, Anul 2010, Numar, 38
Proprietate publica, Regiunea SUD-EST, Anul 2011, Numar, 37
Proprietate publica, Regiunea SUD-EST, Anul 2012, Numar, 37
Proprietate publica, Regiunea SUD-EST, Anul 2013, Numar, 37
Proprietate publica, Regiunea SUD-EST, Anul 2014, Numar, 36
Proprietate publica, Regiunea SUD-EST, Anul 2015, Numar, 36
Proprietate publica, Regiunea SUD-EST, Anul 2016, Numar, 36
Proprietate publica, Regiunea SUD-EST, Anul 2017, Numar, 36
Proprietate publica, Braila, Anul 1990, Numar, 1
Proprietate publica, Braila, Anul 1991, Numar, 1
Proprietate publica, Braila, Anul 1992, Numar, 1
Proprietate publica, Braila, Anul 1993, Numar, 1
Proprietate publica, Braila, Anul 1994, Numar, 1
Proprietate publica, Braila, Anul 1995, Numar, 2
Proprietate publica, Braila, Anul 1996, Numar, 1
Proprietate publica, Braila, Anul 1997, Numar, 1
Proprietate publica, Braila, Anul 1998, Numar, 1
Proprietate publica, Braila, Anul 1999, Numar, 2
Proprietate publica, Braila, Anul 2000, Numar, 2
Proprietate publica, Braila, Anul 2001, Numar, 2
Proprietate publica, Braila, Anul 2002, Numar, 2
Proprietate publica, Braila, Anul 2003, Numar, 2
Proprietate publica, Braila, Anul 2004, Numar, 2
Proprietate publica, Braila, Anul 2005, Numar, 2
Proprietate publica, Braila, Anul 2006, Numar, 2
Proprietate publica, Braila, Anul 2007, Numar, 1
Proprietate publica, Braila, Anul 2008, Numar, 1
Proprietate publica, Braila, Anul 2009, Numar, 1
Proprietate publica, Braila, Anul 2010, Numar, 1
Proprietate publica, Braila, Anul 2011, Numar, 1
Proprietate publica, Braila, Anul 2012, Numar, 1
Proprietate publica, Braila, Anul 2013, Numar, 1
Proprietate publica, Braila, Anul 2014, Numar, 1
Proprietate publica, Braila, Anul 2015, Numar, 1
Proprietate publica, Braila, Anul 2016, Numar, 1
Proprietate publica, Braila, Anul 2017, Numar, 1
Proprietate publica, Buzau, Anul 1991, Numar, 1
Proprietate publica, Buzau, Anul 1992, Numar, 1
Proprietate publica, Buzau, Anul 1993, Numar, 1
Proprietate publica, Buzau, Anul 1994, Numar, 1
Proprietate publica, Buzau, Anul 1995, Numar, 3
Proprietate publica, Buzau, Anul 1996, Numar, 2
Proprietate publica, Buzau, Anul 1997, Numar, 2
Proprietate publica, Buzau, Anul 1998, Numar, 1
Proprietate publica, Buzau, Anul 1999, Numar, 1
Proprietate publica, Buzau, Anul 2000, Numar, 2
Proprietate publica, Buzau, Anul 2001, Numar, 2
Proprietate publica, Buzau, Anul 2002, Numar, 2
Proprietate publica, Buzau, Anul 2003, Numar, 2
Proprietate publica, Buzau, Anul 2004, Numar, 2
Proprietate publica, Buzau, Anul 2005, Numar, 3
Proprietate publica, Buzau, Anul 2006, Numar, 3
Proprietate publica, Buzau, Anul 2007, Numar, 1
Proprietate publica, Buzau, Anul 2008, Numar, 1
Proprietate publica, Buzau, Anul 2009, Numar, 1
Proprietate publica, Buzau, Anul 2010, Numar, 1
Proprietate publica, Buzau, Anul 2011, Numar, 1
Proprietate publica, Buzau, Anul 2012, Numar, 1
Proprietate publica, Buzau, Anul 2013, Numar, 1
Proprietate publica, Buzau, Anul 2014, Numar, 1
Proprietate publica, Buzau, Anul 2015, Numar, 1
Proprietate publica, Buzau, Anul 2016, Numar, 1
Proprietate publica, Buzau, Anul 2017, Numar, 1
Proprietate publica, Constanta, Anul 1990, Numar, 5
Proprietate publica, Constanta, Anul 1991, Numar, 8
Proprietate publica, Constanta, Anul 1992, Numar, 8
Proprietate publica, Constanta, Anul 1993, Numar, 8
Proprietate publica, Constanta, Anul 1994, Numar, 8
Proprietate publica, Constanta, Anul 1995, Numar, 12
Proprietate publica, Constanta, Anul 1996, Numar, 12
Proprietate publica, Constanta, Anul 1997, Numar, 13
Proprietate publica, Constanta, Anul 1998, Numar, 14
Proprietate publica, Constanta, Anul 1999, Numar, 16
Proprietate publica, Constanta, Anul 2000, Numar, 18
Proprietate publica, Constanta, Anul 2001, Numar, 18
Proprietate publica, Constanta, Anul 2002, Numar, 22
Proprietate publica, Constanta, Anul 2003, Numar, 23
Proprietate publica, Constanta, Anul 2004, Numar, 23
Proprietate publica, Constanta, Anul 2005, Numar, 23
Proprietate publica, Constanta, Anul 2006, Numar, 24
Proprietate publica, Constanta, Anul 2007, Numar, 21
Proprietate publica, Constanta, Anul 2008, Numar, 19
Proprietate publica, Constanta, Anul 2009, Numar, 21
Proprietate publica, Constanta, Anul 2010, Numar, 21
Proprietate publica, Constanta, Anul 2011, Numar, 20
Proprietate publica, Constanta, Anul 2012, Numar, 20
Proprietate publica, Constanta, Anul 2013, Numar, 20
Proprietate publica, Constanta, Anul 2014, Numar, 20
Proprietate publica, Constanta, Anul 2015, Numar, 20
Proprietate publica, Constanta, Anul 2016, Numar, 20
Proprietate publica, Constanta, Anul 2017, Numar, 20
Proprietate publica, Galati, Anul 1990, Numar, 5
Proprietate publica, Galati, Anul 1991, Numar, 7
Proprietate publica, Galati, Anul 1992, Numar, 7
Proprietate publica, Galati, Anul 1993, Numar, 7
Proprietate publica, Galati, Anul 1994, Numar, 7
Proprietate publica, Galati, Anul 1995, Numar, 9
Proprietate publica, Galati, Anul 1996, Numar, 8
Proprietate publica, Galati, Anul 1997, Numar, 9
Proprietate publica, Galati, Anul 1998, Numar, 10
Proprietate publica, Galati, Anul 1999, Numar, 11
Proprietate publica, Galati, Anul 2000, Numar, 11
Proprietate publica, Galati, Anul 2001, Numar, 12
Proprietate publica, Galati, Anul 2002, Numar, 13
Proprietate publica, Galati, Anul 2003, Numar, 13
Proprietate publica, Galati, Anul 2004, Numar, 16
Proprietate publica, Galati, Anul 2005, Numar, 21
Proprietate publica, Galati, Anul 2006, Numar, 20
Proprietate publica, Galati, Anul 2007, Numar, 15
Proprietate publica, Galati, Anul 2008, Numar, 15
Proprietate publica, Galati, Anul 2009, Numar, 14
Proprietate publica, Galati, Anul 2010, Numar, 14
Proprietate publica, Galati, Anul 2011, Numar, 14
Proprietate publica, Galati, Anul 2012, Numar, 14
Proprietate publica, Galati, Anul 2013, Numar, 14
Proprietate publica, Galati, Anul 2014, Numar, 13
Proprietate publica, Galati, Anul 2015, Numar, 13
Proprietate publica, Galati, Anul 2016, Numar, 13
Proprietate publica, Galati, Anul 2017, Numar, 13
Proprietate publica, Vrancea, Anul 1997, Numar, 1
Proprietate publica, Vrancea, Anul 1998, Numar, 1
Proprietate publica, Vrancea, Anul 1999, Numar, 2
Proprietate publica, Vrancea, Anul 2000, Numar, 2
Proprietate publica, Vrancea, Anul 2001, Numar, 2
Proprietate publica, Vrancea, Anul 2002, Numar, 2
Proprietate publica, Vrancea, Anul 2003, Numar, 2
Proprietate publica, Vrancea, Anul 2004, Numar, 1
Proprietate publica, Vrancea, Anul 2005, Numar, 2
Proprietate publica, Vrancea, Anul 2006, Numar, 2
Proprietate publica, Vrancea, Anul 2007, Numar, 1
Proprietate publica, Vrancea, Anul 2008, Numar, 1
Proprietate publica, Vrancea, Anul 2009, Numar, 1
Proprietate publica, Vrancea, Anul 2010, Numar, 1
Proprietate publica, Vrancea, Anul 2011, Numar, 1
Proprietate publica, Vrancea, Anul 2012, Numar, 1
Proprietate publica, Vrancea, Anul 2013, Numar, 1
Proprietate publica, Vrancea, Anul 2014, Numar, 1
Proprietate publica, Vrancea, Anul 2015, Numar, 1
Proprietate publica, Vrancea, Anul 2016, Numar, 1
Proprietate publica, Vrancea, Anul 2017, Numar, 1
Proprietate publica, MACROREGIUNEA TREI, Anul 1990, Numar, 58
Proprietate publica, MACROREGIUNEA TREI, Anul 1991, Numar, 80
Proprietate publica, MACROREGIUNEA TREI, Anul 1992, Numar, 81
Proprietate publica, MACROREGIUNEA TREI, Anul 1993, Numar, 81
Proprietate publica, MACROREGIUNEA TREI, Anul 1994, Numar, 81
Proprietate publica, MACROREGIUNEA TREI, Anul 1995, Numar, 162
Proprietate publica, MACROREGIUNEA TREI, Anul 1996, Numar, 94
Proprietate publica, MACROREGIUNEA TREI, Anul 1997, Numar, 100
Proprietate publica, MACROREGIUNEA TREI, Anul 1998, Numar, 105
