Niveluri de instruire, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Total, Total, Regiunea CENTRU, Anul 1999, Numar, 3552
Total, Total, Regiunea CENTRU, Anul 2000, Numar, 3502
Total, Total, Regiunea CENTRU, Anul 2001, Numar, 3489
Total, Total, Regiunea CENTRU, Anul 2002, Numar, 3476
Total, Total, Regiunea CENTRU, Anul 2003, Numar, 3016
Total, Total, Regiunea CENTRU, Anul 2004, Numar, 2580
Total, Total, Regiunea CENTRU, Anul 2005, Numar, 2040
Total, Total, Regiunea CENTRU, Anul 2006, Numar, 1200
Total, Total, Regiunea CENTRU, Anul 2007, Numar, 1125
Total, Total, Regiunea CENTRU, Anul 2008, Numar, 1130
Total, Total, Regiunea CENTRU, Anul 2009, Numar, 1140
Total, Total, Regiunea CENTRU, Anul 2010, Numar, 1087
Total, Total, Regiunea CENTRU, Anul 2011, Numar, 1022
Total, Total, Regiunea CENTRU, Anul 2012, Numar, 984
Total, Total, Regiunea CENTRU, Anul 2013, Numar, 930
Total, Total, Regiunea CENTRU, Anul 2014, Numar, 931
Total, Total, Regiunea CENTRU, Anul 2015, Numar, 933
Total, Total, Regiunea CENTRU, Anul 2016, Numar, 916
Total, Total, Regiunea CENTRU, Anul 2017, Numar, 910
Total, Total, Alba, Anul 1996, Numar, 780
Total, Total, Alba, Anul 1997, Numar, 752
Total, Total, Alba, Anul 1998, Numar, 766
Total, Total, Alba, Anul 1999, Numar, 715
Total, Total, Alba, Anul 2000, Numar, 706
Total, Total, Alba, Anul 2001, Numar, 704
Total, Total, Alba, Anul 2002, Numar, 704
Total, Total, Alba, Anul 2003, Numar, 494
Total, Total, Alba, Anul 2004, Numar, 494
Total, Total, Alba, Anul 2005, Numar, 491
Total, Total, Alba, Anul 2006, Numar, 184
Total, Total, Alba, Anul 2007, Numar, 181
Total, Total, Alba, Anul 2008, Numar, 179
Total, Total, Alba, Anul 2009, Numar, 181
Total, Total, Alba, Anul 2010, Numar, 174
Total, Total, Alba, Anul 2011, Numar, 151
Total, Total, Alba, Anul 2012, Numar, 143
Total, Total, Alba, Anul 2013, Numar, 144
Total, Total, Alba, Anul 2014, Numar, 141
Total, Total, Alba, Anul 2015, Numar, 141
Total, Total, Alba, Anul 2016, Numar, 140
Total, Total, Alba, Anul 2017, Numar, 140
Total, Total, Brasov, Anul 1996, Numar, 582
Total, Total, Brasov, Anul 1997, Numar, 561
Total, Total, Brasov, Anul 1998, Numar, 579
Total, Total, Brasov, Anul 1999, Numar, 501
Total, Total, Brasov, Anul 2000, Numar, 492
Total, Total, Brasov, Anul 2001, Numar, 482
Total, Total, Brasov, Anul 2002, Numar, 485
Total, Total, Brasov, Anul 2003, Numar, 465
Total, Total, Brasov, Anul 2004, Numar, 459
Total, Total, Brasov, Anul 2005, Numar, 384
Total, Total, Brasov, Anul 2006, Numar, 247
Total, Total, Brasov, Anul 2007, Numar, 246
Total, Total, Brasov, Anul 2008, Numar, 258
Total, Total, Brasov, Anul 2009, Numar, 256
Total, Total, Brasov, Anul 2010, Numar, 239
Total, Total, Brasov, Anul 2011, Numar, 243
Total, Total, Brasov, Anul 2012, Numar, 217
Total, Total, Brasov, Anul 2013, Numar, 202
Total, Total, Brasov, Anul 2014, Numar, 211
Total, Total, Brasov, Anul 2015, Numar, 211
Total, Total, Brasov, Anul 2016, Numar, 204
Total, Total, Brasov, Anul 2017, Numar, 196
Total, Total, Covasna, Anul 1996, Numar, 380
Total, Total, Covasna, Anul 1997, Numar, 379
Total, Total, Covasna, Anul 1998, Numar, 376
Total, Total, Covasna, Anul 1999, Numar, 354
Total, Total, Covasna, Anul 2000, Numar, 341
Total, Total, Covasna, Anul 2001, Numar, 345
Total, Total, Covasna, Anul 2002, Numar, 343
Total, Total, Covasna, Anul 2003, Numar, 343
Total, Total, Covasna, Anul 2004, Numar, 119
Total, Total, Covasna, Anul 2005, Numar, 119
Total, Total, Covasna, Anul 2006, Numar, 115
Total, Total, Covasna, Anul 2007, Numar, 84
Total, Total, Covasna, Anul 2008, Numar, 85
Total, Total, Covasna, Anul 2009, Numar, 83
Total, Total, Covasna, Anul 2010, Numar, 85
Total, Total, Covasna, Anul 2011, Numar, 82
Total, Total, Covasna, Anul 2012, Numar, 80
Total, Total, Covasna, Anul 2013, Numar, 82
Total, Total, Covasna, Anul 2014, Numar, 81
Total, Total, Covasna, Anul 2015, Numar, 81
Total, Total, Covasna, Anul 2016, Numar, 81
Total, Total, Covasna, Anul 2017, Numar, 81
Total, Total, Harghita, Anul 1996, Numar, 647
Total, Total, Harghita, Anul 1997, Numar, 644
Total, Total, Harghita, Anul 1998, Numar, 644
Total, Total, Harghita, Anul 1999, Numar, 608
Total, Total, Harghita, Anul 2000, Numar, 598
Total, Total, Harghita, Anul 2001, Numar, 588
Total, Total, Harghita, Anul 2002, Numar, 583
Total, Total, Harghita, Anul 2003, Numar, 569
Total, Total, Harghita, Anul 2004, Numar, 557
Total, Total, Harghita, Anul 2005, Numar, 160
Total, Total, Harghita, Anul 2006, Numar, 159
Total, Total, Harghita, Anul 2007, Numar, 162
Total, Total, Harghita, Anul 2008, Numar, 163
Total, Total, Harghita, Anul 2009, Numar, 164
Total, Total, Harghita, Anul 2010, Numar, 158
Total, Total, Harghita, Anul 2011, Numar, 152
Total, Total, Harghita, Anul 2012, Numar, 150
Total, Total, Harghita, Anul 2013, Numar, 131
Total, Total, Harghita, Anul 2014, Numar, 130
Total, Total, Harghita, Anul 2015, Numar, 132
Total, Total, Harghita, Anul 2016, Numar, 129
Total, Total, Harghita, Anul 2017, Numar, 128
Total, Total, Mures, Anul 1996, Numar, 956
Total, Total, Mures, Anul 1997, Numar, 950
Total, Total, Mures, Anul 1998, Numar, 956
Total, Total, Mures, Anul 1999, Numar, 902
Total, Total, Mures, Anul 2000, Numar, 899
Total, Total, Mures, Anul 2001, Numar, 899
Total, Total, Mures, Anul 2002, Numar, 892
Total, Total, Mures, Anul 2003, Numar, 896
Total, Total, Mures, Anul 2004, Numar, 700
Total, Total, Mures, Anul 2005, Numar, 698
Total, Total, Mures, Anul 2006, Numar, 308
Total, Total, Mures, Anul 2007, Numar, 262
Total, Total, Mures, Anul 2008, Numar, 263
Total, Total, Mures, Anul 2009, Numar, 266
Total, Total, Mures, Anul 2010, Numar, 255
Total, Total, Mures, Anul 2011, Numar, 222
Total, Total, Mures, Anul 2012, Numar, 214
Total, Total, Mures, Anul 2013, Numar, 193
Total, Total, Mures, Anul 2014, Numar, 189
Total, Total, Mures, Anul 2015, Numar, 189
Total, Total, Mures, Anul 2016, Numar, 185
Total, Total, Mures, Anul 2017, Numar, 187
Total, Total, Sibiu, Anul 1996, Numar, 551
Total, Total, Sibiu, Anul 1997, Numar, 535
Total, Total, Sibiu, Anul 1998, Numar, 536
Total, Total, Sibiu, Anul 1999, Numar, 472
Total, Total, Sibiu, Anul 2000, Numar, 466
Total, Total, Sibiu, Anul 2001, Numar, 471
Total, Total, Sibiu, Anul 2002, Numar, 469
Total, Total, Sibiu, Anul 2003, Numar, 249
Total, Total, Sibiu, Anul 2004, Numar, 251
Total, Total, Sibiu, Anul 2005, Numar, 188
Total, Total, Sibiu, Anul 2006, Numar, 187
Total, Total, Sibiu, Anul 2007, Numar, 190
Total, Total, Sibiu, Anul 2008, Numar, 182
Total, Total, Sibiu, Anul 2009, Numar, 190
Total, Total, Sibiu, Anul 2010, Numar, 176
Total, Total, Sibiu, Anul 2011, Numar, 172
Total, Total, Sibiu, Anul 2012, Numar, 180
Total, Total, Sibiu, Anul 2013, Numar, 178
Total, Total, Sibiu, Anul 2014, Numar, 179
Total, Total, Sibiu, Anul 2015, Numar, 179
Total, Total, Sibiu, Anul 2016, Numar, 177
Total, Total, Sibiu, Anul 2017, Numar, 178
Total, Total, MACROREGIUNEA DOI, Anul 1996, Numar, 9279
Total, Total, MACROREGIUNEA DOI, Anul 1997, Numar, 8899
Total, Total, MACROREGIUNEA DOI, Anul 1998, Numar, 9115
Total, Total, MACROREGIUNEA DOI, Anul 1999, Numar, 8712
Total, Total, MACROREGIUNEA DOI, Anul 2000, Numar, 7284
Total, Total, MACROREGIUNEA DOI, Anul 2001, Numar, 7290
Total, Total, MACROREGIUNEA DOI, Anul 2002, Numar, 7082
Total, Total, MACROREGIUNEA DOI, Anul 2003, Numar, 6027
Total, Total, MACROREGIUNEA DOI, Anul 2004, Numar, 4781
Total, Total, MACROREGIUNEA DOI, Anul 2005, Numar, 3437
Total, Total, MACROREGIUNEA DOI, Anul 2006, Numar, 2462
Total, Total, MACROREGIUNEA DOI, Anul 2007, Numar, 2454
Total, Total, MACROREGIUNEA DOI, Anul 2008, Numar, 2447
Total, Total, MACROREGIUNEA DOI, Anul 2009, Numar, 2448
Total, Total, MACROREGIUNEA DOI, Anul 2010, Numar, 2210
Total, Total, MACROREGIUNEA DOI, Anul 2011, Numar, 2095
Total, Total, MACROREGIUNEA DOI, Anul 2012, Numar, 2002
Total, Total, MACROREGIUNEA DOI, Anul 2013, Numar, 2015
Total, Total, MACROREGIUNEA DOI, Anul 2014, Numar, 2044
Total, Total, MACROREGIUNEA DOI, Anul 2015, Numar, 2031
Total, Total, MACROREGIUNEA DOI, Anul 2016, Numar, 1984
Total, Total, MACROREGIUNEA DOI, Anul 2017, Numar, 1967
Total, Total, Regiunea NORD-EST, Anul 1996, Numar, 5811
Total, Total, Regiunea NORD-EST, Anul 1997, Numar, 5493
Total, Total, Regiunea NORD-EST, Anul 1998, Numar, 5683
Total, Total, Regiunea NORD-EST, Anul 1999, Numar, 5473
