Medii de rezidenta, Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Ani, Valoare
Total, Total, Salaj, Anul 2013, Ani, 73.76
Total, Total, Salaj, Anul 2014, Ani, 74.58
Total, Total, Salaj, Anul 2015, Ani, 74.59
Total, Total, Salaj, Anul 2016, Ani, 74.9
Total, Total, Salaj, Anul 2017, Ani, 75.24
Total, Total, Regiunea CENTRU, Anul 1990, Ani, 70.59
Total, Total, Regiunea CENTRU, Anul 1991, Ani, 70.69
Total, Total, Regiunea CENTRU, Anul 1992, Ani, 70.63
Total, Total, Regiunea CENTRU, Anul 1993, Ani, 70.05
Total, Total, Regiunea CENTRU, Anul 1994, Ani, 69.99
Total, Total, Regiunea CENTRU, Anul 1995, Ani, 70.07
Total, Total, Regiunea CENTRU, Anul 1996, Ani, 69.83
Total, Total, Regiunea CENTRU, Anul 1997, Ani, 69.72
Total, Total, Regiunea CENTRU, Anul 1998, Ani, 69.9
Total, Total, Regiunea CENTRU, Anul 1999, Ani, 70.07
Total, Total, Regiunea CENTRU, Anul 2000, Ani, 70.84
Total, Total, Regiunea CENTRU, Anul 2001, Ani, 71.7
Total, Total, Regiunea CENTRU, Anul 2002, Ani, 71.66
Total, Total, Regiunea CENTRU, Anul 2003, Ani, 71.51
Total, Total, Regiunea CENTRU, Anul 2004, Ani, 71.82
Total, Total, Regiunea CENTRU, Anul 2005, Ani, 72.07
Total, Total, Regiunea CENTRU, Anul 2006, Ani, 72.48
Total, Total, Regiunea CENTRU, Anul 2007, Ani, 72.89
Total, Total, Regiunea CENTRU, Anul 2008, Ani, 73.81
Total, Total, Regiunea CENTRU, Anul 2009, Ani, 74.08
Total, Total, Regiunea CENTRU, Anul 2010, Ani, 74.31
Total, Total, Regiunea CENTRU, Anul 2011, Ani, 74.7
Total, Total, Regiunea CENTRU, Anul 2012, Ani, 75.16
Total, Total, Regiunea CENTRU, Anul 2013, Ani, 75.63
Total, Total, Regiunea CENTRU, Anul 2014, Ani, 75.94
Total, Total, Regiunea CENTRU, Anul 2015, Ani, 75.91
Total, Total, Regiunea CENTRU, Anul 2016, Ani, 76.09
Total, Total, Regiunea CENTRU, Anul 2017, Ani, 76.25
Total, Total, Alba, Anul 1990, Ani, 70.34
Total, Total, Alba, Anul 1991, Ani, 70.53
Total, Total, Alba, Anul 1992, Ani, 70.36
Total, Total, Alba, Anul 1993, Ani, 69.77
Total, Total, Alba, Anul 1994, Ani, 70.03
Total, Total, Alba, Anul 1995, Ani, 70.11
Total, Total, Alba, Anul 1996, Ani, 69.58
Total, Total, Alba, Anul 1997, Ani, 69.41
Total, Total, Alba, Anul 1998, Ani, 69.66
Total, Total, Alba, Anul 1999, Ani, 70.08
Total, Total, Alba, Anul 2000, Ani, 70.88
Total, Total, Alba, Anul 2001, Ani, 71.55
Total, Total, Alba, Anul 2002, Ani, 71.29
Total, Total, Alba, Anul 2003, Ani, 71.39
Total, Total, Alba, Anul 2004, Ani, 71.88
Total, Total, Alba, Anul 2005, Ani, 71.89
Total, Total, Alba, Anul 2006, Ani, 72.22
Total, Total, Alba, Anul 2007, Ani, 72.85
Total, Total, Alba, Anul 2008, Ani, 73.82
Total, Total, Alba, Anul 2009, Ani, 74.19
Total, Total, Alba, Anul 2010, Ani, 74.29
Total, Total, Alba, Anul 2011, Ani, 74.53
Total, Total, Alba, Anul 2012, Ani, 74.82
Total, Total, Alba, Anul 2013, Ani, 75.54
Total, Total, Alba, Anul 2014, Ani, 76.09
Total, Total, Alba, Anul 2015, Ani, 76.06
Total, Total, Alba, Anul 2016, Ani, 76.08
Total, Total, Alba, Anul 2017, Ani, 76.12
Total, Total, Brasov, Anul 1990, Ani, 70.68
Total, Total, Brasov, Anul 1991, Ani, 70.68
Total, Total, Brasov, Anul 1992, Ani, 70.88
Total, Total, Brasov, Anul 1993, Ani, 70.58
Total, Total, Brasov, Anul 1994, Ani, 70.41
Total, Total, Brasov, Anul 1995, Ani, 70.45
Total, Total, Brasov, Anul 1996, Ani, 70.3
Total, Total, Brasov, Anul 1997, Ani, 70.12
Total, Total, Brasov, Anul 1998, Ani, 70.31
Total, Total, Brasov, Anul 1999, Ani, 70.5
Total, Total, Brasov, Anul 2000, Ani, 71.24
Total, Total, Brasov, Anul 2001, Ani, 72.17
Total, Total, Brasov, Anul 2002, Ani, 72.22
Total, Total, Brasov, Anul 2003, Ani, 72.26
Total, Total, Brasov, Anul 2004, Ani, 72.8
Total, Total, Brasov, Anul 2005, Ani, 72.97
Total, Total, Brasov, Anul 2006, Ani, 73.08
Total, Total, Brasov, Anul 2007, Ani, 73.38
Total, Total, Brasov, Anul 2008, Ani, 74.41
Total, Total, Brasov, Anul 2009, Ani, 74.82
Total, Total, Brasov, Anul 2010, Ani, 75.25
Total, Total, Brasov, Anul 2011, Ani, 75.78
Total, Total, Brasov, Anul 2012, Ani, 76.1
Total, Total, Brasov, Anul 2013, Ani, 76.29
Total, Total, Brasov, Anul 2014, Ani, 76.57
Total, Total, Brasov, Anul 2015, Ani, 76.56
Total, Total, Brasov, Anul 2016, Ani, 77.02
Total, Total, Brasov, Anul 2017, Ani, 77.02
Total, Total, Covasna, Anul 1990, Ani, 70.71
Total, Total, Covasna, Anul 1991, Ani, 70.7
Total, Total, Covasna, Anul 1992, Ani, 70.41
Total, Total, Covasna, Anul 1993, Ani, 70
Total, Total, Covasna, Anul 1994, Ani, 70.07
Total, Total, Covasna, Anul 1995, Ani, 70.11
Total, Total, Covasna, Anul 1996, Ani, 69.92
Total, Total, Covasna, Anul 1997, Ani, 70.29
Total, Total, Covasna, Anul 1998, Ani, 70.61
Total, Total, Covasna, Anul 1999, Ani, 70.69
Total, Total, Covasna, Anul 2000, Ani, 71.39
Total, Total, Covasna, Anul 2001, Ani, 72.37
Total, Total, Covasna, Anul 2002, Ani, 72.48
Total, Total, Covasna, Anul 2003, Ani, 71.91
Total, Total, Covasna, Anul 2004, Ani, 71.62
Total, Total, Covasna, Anul 2005, Ani, 71.9
Total, Total, Covasna, Anul 2006, Ani, 72.57
Total, Total, Covasna, Anul 2007, Ani, 72.8
Total, Total, Covasna, Anul 2008, Ani, 73.34
Total, Total, Covasna, Anul 2009, Ani, 73.62
Total, Total, Covasna, Anul 2010, Ani, 73.7
Total, Total, Covasna, Anul 2011, Ani, 74.12
Total, Total, Covasna, Anul 2012, Ani, 74.83
Total, Total, Covasna, Anul 2013, Ani, 75.15
Total, Total, Covasna, Anul 2014, Ani, 75.07
Total, Total, Covasna, Anul 2015, Ani, 75.43
Total, Total, Covasna, Anul 2016, Ani, 75.76
Total, Total, Covasna, Anul 2017, Ani, 75.49
Total, Total, Harghita, Anul 1990, Ani, 71.04
Total, Total, Harghita, Anul 1991, Ani, 71.16
Total, Total, Harghita, Anul 1992, Ani, 70.87
Total, Total, Harghita, Anul 1993, Ani, 70.27
Total, Total, Harghita, Anul 1994, Ani, 70.09
Total, Total, Harghita, Anul 1995, Ani, 70.02
Total, Total, Harghita, Anul 1996, Ani, 69.7
Total, Total, Harghita, Anul 1997, Ani, 69.47
Total, Total, Harghita, Anul 1998, Ani, 69.96
Total, Total, Harghita, Anul 1999, Ani, 70.28
Total, Total, Harghita, Anul 2000, Ani, 71.03
Total, Total, Harghita, Anul 2001, Ani, 72.11
Total, Total, Harghita, Anul 2002, Ani, 71.69
Total, Total, Harghita, Anul 2003, Ani, 71.57
Total, Total, Harghita, Anul 2004, Ani, 71.62
Total, Total, Harghita, Anul 2005, Ani, 71.81
Total, Total, Harghita, Anul 2006, Ani, 72.3
Total, Total, Harghita, Anul 2007, Ani, 72.57
Total, Total, Harghita, Anul 2008, Ani, 73.42
Total, Total, Harghita, Anul 2009, Ani, 73.74
Total, Total, Harghita, Anul 2010, Ani, 74.04
Total, Total, Harghita, Anul 2011, Ani, 74.37
Total, Total, Harghita, Anul 2012, Ani, 74.73
Total, Total, Harghita, Anul 2013, Ani, 75.28
Total, Total, Harghita, Anul 2014, Ani, 75.74
Total, Total, Harghita, Anul 2015, Ani, 75.84
Total, Total, Harghita, Anul 2016, Ani, 76.14
Total, Total, Harghita, Anul 2017, Ani, 76.36
Total, Total, Mures, Anul 1990, Ani, 70.03
Total, Total, Mures, Anul 1991, Ani, 70.09
Total, Total, Mures, Anul 1992, Ani, 70.23
Total, Total, Mures, Anul 1993, Ani, 69.51
Total, Total, Mures, Anul 1994, Ani, 69.27
Total, Total, Mures, Anul 1995, Ani, 69.65
Total, Total, Mures, Anul 1996, Ani, 69.3
Total, Total, Mures, Anul 1997, Ani, 68.92
Total, Total, Mures, Anul 1998, Ani, 68.8
Total, Total, Mures, Anul 1999, Ani, 69.16
Total, Total, Mures, Anul 2000, Ani, 69.99
Total, Total, Mures, Anul 2001, Ani, 70.79
Total, Total, Mures, Anul 2002, Ani, 70.9
Total, Total, Mures, Anul 2003, Ani, 70.83
Total, Total, Mures, Anul 2004, Ani, 71.16
Total, Total, Mures, Anul 2005, Ani, 71.54
Total, Total, Mures, Anul 2006, Ani, 72.07
Total, Total, Mures, Anul 2007, Ani, 72.47
Total, Total, Mures, Anul 2008, Ani, 73.29
Total, Total, Mures, Anul 2009, Ani, 73.59
Total, Total, Mures, Anul 2010, Ani, 73.58
Total, Total, Mures, Anul 2011, Ani, 73.89
Total, Total, Mures, Anul 2012, Ani, 74.38
Total, Total, Mures, Anul 2013, Ani, 75.16
Total, Total, Mures, Anul 2014, Ani, 75.57
Total, Total, Mures, Anul 2015, Ani, 75.19
Total, Total, Mures, Anul 2016, Ani, 75.22
Total, Total, Mures, Anul 2017, Ani, 75.64
Total, Total, Sibiu, Anul 1990, Ani, 70.75
Total, Total, Sibiu, Anul 1991, Ani, 70.97
Total, Total, Sibiu, Anul 1992, Ani, 71.05
Total, Total, Sibiu, Anul 1993, Ani, 70.18
Total, Total, Sibiu, Anul 1994, Ani, 70.08
Total, Total, Sibiu, Anul 1995, Ani, 70.1
Total, Total, Sibiu, Anul 1996, Ani, 70.17
Total, Total, Sibiu, Anul 1997, Ani, 70.12
Total, Total, Sibiu, Anul 1998, Ani, 70.07
Total, Total, Sibiu, Anul 1999, Ani, 70.24
Total, Total, Sibiu, Anul 2000, Ani, 70.97
Total, Total, Sibiu, Anul 2001, Ani, 71.77
Total, Total, Sibiu, Anul 2002, Ani, 71.81
Total, Total, Sibiu, Anul 2003, Ani, 71.31
Total, Total, Sibiu, Anul 2004, Ani, 71.73
Total, Total, Sibiu, Anul 2005, Ani, 72.14
Total, Total, Sibiu, Anul 2006, Ani, 72.48
Total, Total, Sibiu, Anul 2007, Ani, 73.09
Total, Total, Sibiu, Anul 2008, Ani, 74.36
Total, Total, Sibiu, Anul 2009, Ani, 74.24
Total, Total, Sibiu, Anul 2010, Ani, 74.68
Total, Total, Sibiu, Anul 2011, Ani, 75.16
Total, Total, Sibiu, Anul 2012, Ani, 75.76
Total, Total, Sibiu, Anul 2013, Ani, 75.96
Total, Total, Sibiu, Anul 2014, Ani, 76.07
Total, Total, Sibiu, Anul 2015, Ani, 76.18
Total, Total, Sibiu, Anul 2016, Ani, 76.2
Total, Total, Sibiu, Anul 2017, Ani, 76.58
Total, Total, MACROREGIUNEA DOI, Anul 2000, Ani, 70.64
Total, Total, MACROREGIUNEA DOI, Anul 2005, Ani, 71.74
Total, Total, MACROREGIUNEA DOI, Anul 2006, Ani, 72.37
Total, Total, MACROREGIUNEA DOI, Anul 2007, Ani, 72.72
Total, Total, MACROREGIUNEA DOI, Anul 2008, Ani, 73.38
Total, Total, MACROREGIUNEA DOI, Anul 2009, Ani, 73.58
Total, Total, MACROREGIUNEA DOI, Anul 2010, Ani, 73.6
Total, Total, MACROREGIUNEA DOI, Anul 2011, Ani, 73.8
Total, Total, MACROREGIUNEA DOI, Anul 2012, Ani, 74.33
Total, Total, MACROREGIUNEA DOI, Anul 2013, Ani, 74.81
Total, Total, MACROREGIUNEA DOI, Anul 2014, Ani, 75.01
Total, Total, MACROREGIUNEA DOI, Anul 2015, Ani, 74.95
Total, Total, MACROREGIUNEA DOI, Anul 2016, Ani, 75.2
Total, Total, MACROREGIUNEA DOI, Anul 2017, Ani, 75.32
Total, Total, Regiunea NORD-EST, Anul 1990, Ani, 70.32
Total, Total, Regiunea NORD-EST, Anul 1991, Ani, 70.34
Total, Total, Regiunea NORD-EST, Anul 1992, Ani, 70.2
Total, Total, Regiunea NORD-EST, Anul 1993, Ani, 70.06
Total, Total, Regiunea NORD-EST, Anul 1994, Ani, 69.92
Total, Total, Regiunea NORD-EST, Anul 1995, Ani, 69.56
Total, Total, Regiunea NORD-EST, Anul 1996, Ani, 69.01
Total, Total, Regiunea NORD-EST, Anul 1997, Ani, 68.85
Total, Total, Regiunea NORD-EST, Anul 1998, Ani, 69.32
Total, Total, Regiunea NORD-EST, Anul 1999, Ani, 70.1
Total, Total, Regiunea NORD-EST, Anul 2000, Ani, 70.78
Total, Total, Regiunea NORD-EST, Anul 2001, Ani, 71.19
Total, Total, Regiunea NORD-EST, Anul 2002, Ani, 71.19
Total, Total, Regiunea NORD-EST, Anul 2003, Ani, 70.92
Total, Total, Regiunea NORD-EST, Anul 2004, Ani, 71.13
Total, Total, Regiunea NORD-EST, Anul 2005, Ani, 71.8
Total, Total, Regiunea NORD-EST, Anul 2006, Ani, 72.39
Total, Total, Regiunea NORD-EST, Anul 2007, Ani, 72.78
Total, Total, Regiunea NORD-EST, Anul 2008, Ani, 73.5
Total, Total, Regiunea NORD-EST, Anul 2009, Ani, 73.74
Total, Total, Regiunea NORD-EST, Anul 2010, Ani, 73.61
Total, Total, Regiunea NORD-EST, Anul 2011, Ani, 73.75
Total, Total, Regiunea NORD-EST, Anul 2012, Ani, 74.41
