Medii de rezidenta, Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Ani, Valoare
Total, Total, Caras-Severin, Anul 2013, Ani, 74.57
Total, Total, Caras-Severin, Anul 2014, Ani, 74.7
Total, Total, Caras-Severin, Anul 2015, Ani, 74.4
Total, Total, Caras-Severin, Anul 2016, Ani, 74.8
Total, Total, Caras-Severin, Anul 2017, Ani, 75.1
Total, Total, Hunedoara, Anul 1990, Ani, 68.08
Total, Total, Hunedoara, Anul 1991, Ani, 68.61
Total, Total, Hunedoara, Anul 1992, Ani, 68.39
Total, Total, Hunedoara, Anul 1993, Ani, 68.03
Total, Total, Hunedoara, Anul 1994, Ani, 68.15
Total, Total, Hunedoara, Anul 1995, Ani, 68.09
Total, Total, Hunedoara, Anul 1996, Ani, 67.69
Total, Total, Hunedoara, Anul 1997, Ani, 67.55
Total, Total, Hunedoara, Anul 1998, Ani, 68.17
Total, Total, Hunedoara, Anul 1999, Ani, 68.81
Total, Total, Hunedoara, Anul 2000, Ani, 69.48
Total, Total, Hunedoara, Anul 2001, Ani, 70.28
Total, Total, Hunedoara, Anul 2002, Ani, 70.28
Total, Total, Hunedoara, Anul 2003, Ani, 69.97
Total, Total, Hunedoara, Anul 2004, Ani, 70.29
Total, Total, Hunedoara, Anul 2005, Ani, 70.81
Total, Total, Hunedoara, Anul 2006, Ani, 71.1
Total, Total, Hunedoara, Anul 2007, Ani, 71.41
Total, Total, Hunedoara, Anul 2008, Ani, 72.69
Total, Total, Hunedoara, Anul 2009, Ani, 73.28
Total, Total, Hunedoara, Anul 2010, Ani, 73.43
Total, Total, Hunedoara, Anul 2011, Ani, 73.86
Total, Total, Hunedoara, Anul 2012, Ani, 74.21
Total, Total, Hunedoara, Anul 2013, Ani, 74.72
Total, Total, Hunedoara, Anul 2014, Ani, 75.12
Total, Total, Hunedoara, Anul 2015, Ani, 74.64
Total, Total, Hunedoara, Anul 2016, Ani, 74.68
Total, Total, Hunedoara, Anul 2017, Ani, 74.94
Total, Total, Timis, Anul 1990, Ani, 69
Total, Total, Timis, Anul 1991, Ani, 69.07
Total, Total, Timis, Anul 1992, Ani, 68.99
Total, Total, Timis, Anul 1993, Ani, 68.53
Total, Total, Timis, Anul 1994, Ani, 68.68
Total, Total, Timis, Anul 1995, Ani, 68.91
Total, Total, Timis, Anul 1996, Ani, 68.51
Total, Total, Timis, Anul 1997, Ani, 68.65
Total, Total, Timis, Anul 1998, Ani, 69.19
Total, Total, Timis, Anul 1999, Ani, 69.59
Total, Total, Timis, Anul 2000, Ani, 70.44
Total, Total, Timis, Anul 2001, Ani, 71.05
Total, Total, Timis, Anul 2002, Ani, 71.2
Total, Total, Timis, Anul 2003, Ani, 71.21
Total, Total, Timis, Anul 2004, Ani, 71.21
Total, Total, Timis, Anul 2005, Ani, 71.43
Total, Total, Timis, Anul 2006, Ani, 72.13
Total, Total, Timis, Anul 2007, Ani, 72.73
Total, Total, Timis, Anul 2008, Ani, 73.98
Total, Total, Timis, Anul 2009, Ani, 74.41
Total, Total, Timis, Anul 2010, Ani, 74.54
Total, Total, Timis, Anul 2011, Ani, 74.61
Total, Total, Timis, Anul 2012, Ani, 75.13
Total, Total, Timis, Anul 2013, Ani, 75.73
Total, Total, Timis, Anul 2014, Ani, 76.12
Total, Total, Timis, Anul 2015, Ani, 75.93
Total, Total, Timis, Anul 2016, Ani, 76.15
Total, Total, Timis, Anul 2017, Ani, 76.48
