Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
MACROREGIUNEA DOI, Anul 1996, Numar, 96096
MACROREGIUNEA DOI, Anul 1997, Numar, 108210
MACROREGIUNEA DOI, Anul 1998, Numar, 116729
MACROREGIUNEA DOI, Anul 1999, Numar, 107205
MACROREGIUNEA DOI, Anul 2000, Numar, 105388
MACROREGIUNEA DOI, Anul 2001, Numar, 103476
MACROREGIUNEA DOI, Anul 2002, Numar, 94009
MACROREGIUNEA DOI, Anul 2003, Numar, 83428
MACROREGIUNEA DOI, Anul 2004, Numar, 74868
MACROREGIUNEA DOI, Anul 2005, Numar, 65698
MACROREGIUNEA DOI, Anul 2006, Numar, 66938
MACROREGIUNEA DOI, Anul 2007, Numar, 81127
MACROREGIUNEA DOI, Anul 2008, Numar, 80579
MACROREGIUNEA DOI, Anul 2009, Numar, 78043
MACROREGIUNEA DOI, Anul 2010, Numar, 75637
MACROREGIUNEA DOI, Anul 2011, Numar, 71626
MACROREGIUNEA DOI, Anul 2012, Numar, 88628
MACROREGIUNEA DOI, Anul 2013, Numar, 89702
MACROREGIUNEA DOI, Anul 2014, Numar, 109732
MACROREGIUNEA DOI, Anul 2015, Numar, 95284
MACROREGIUNEA DOI, Anul 2016, Numar, 103201
Regiunea NORD-EST, Anul 1990, Numar, 12984
Regiunea NORD-EST, Anul 1991, Numar, 19664
Regiunea NORD-EST, Anul 1992, Numar, 21040
Regiunea NORD-EST, Anul 1993, Numar, 33871
Regiunea NORD-EST, Anul 1994, Numar, 38647
Regiunea NORD-EST, Anul 1995, Numar, 51430
Regiunea NORD-EST, Anul 1996, Numar, 55876
Regiunea NORD-EST, Anul 1997, Numar, 62389
Regiunea NORD-EST, Anul 1998, Numar, 66453
Regiunea NORD-EST, Anul 1999, Numar, 60097
Regiunea NORD-EST, Anul 2000, Numar, 58327
Regiunea NORD-EST, Anul 2001, Numar, 56235
Regiunea NORD-EST, Anul 2002, Numar, 54510
Regiunea NORD-EST, Anul 2003, Numar, 49134
Regiunea NORD-EST, Anul 2004, Numar, 44559
Regiunea NORD-EST, Anul 2005, Numar, 39644
Regiunea NORD-EST, Anul 2006, Numar, 39454
Regiunea NORD-EST, Anul 2007, Numar, 46451
Regiunea NORD-EST, Anul 2008, Numar, 45772
Regiunea NORD-EST, Anul 2009, Numar, 43474
Regiunea NORD-EST, Anul 2010, Numar, 42286
Regiunea NORD-EST, Anul 2011, Numar, 41253
Regiunea NORD-EST, Anul 2012, Numar, 50054
Regiunea NORD-EST, Anul 2013, Numar, 49867
Regiunea NORD-EST, Anul 2014, Numar, 61580
Regiunea NORD-EST, Anul 2015, Numar, 52651
Regiunea NORD-EST, Anul 2016, Numar, 56374
Bacau, Anul 1990, Numar, 2826
Bacau, Anul 1991, Numar, 5275
Bacau, Anul 1992, Numar, 5233
Bacau, Anul 1993, Numar, 8584
Bacau, Anul 1994, Numar, 8914
Bacau, Anul 1995, Numar, 10080
Bacau, Anul 1996, Numar, 11654
Bacau, Anul 1997, Numar, 15627
Bacau, Anul 1998, Numar, 15670
Bacau, Anul 1999, Numar, 14882
Bacau, Anul 2000, Numar, 13986
Bacau, Anul 2001, Numar, 13097
Bacau, Anul 2002, Numar, 13913
Bacau, Anul 2003, Numar, 11980
Bacau, Anul 2004, Numar, 9142
Bacau, Anul 2005, Numar, 6520
Bacau, Anul 2006, Numar, 6467
Bacau, Anul 2007, Numar, 9380
Bacau, Anul 2008, Numar, 10427
Bacau, Anul 2009, Numar, 9170
Bacau, Anul 2010, Numar, 8819
Bacau, Anul 2011, Numar, 8226
Bacau, Anul 2012, Numar, 9663
Bacau, Anul 2013, Numar, 9448
Bacau, Anul 2014, Numar, 10723
Bacau, Anul 2015, Numar, 9173
Bacau, Anul 2016, Numar, 10051
Botosani, Anul 1990, Numar, 1505
Botosani, Anul 1991, Numar, 2644
Botosani, Anul 1992, Numar, 2748
Botosani, Anul 1993, Numar, 4405
Botosani, Anul 1994, Numar, 5646
Botosani, Anul 1995, Numar, 6183
Botosani, Anul 1996, Numar, 7629
Botosani, Anul 1997, Numar, 8121
Botosani, Anul 1998, Numar, 9085
Botosani, Anul 1999, Numar, 8354
Botosani, Anul 2000, Numar, 8141
Botosani, Anul 2001, Numar, 8527
Botosani, Anul 2002, Numar, 7606
Botosani, Anul 2003, Numar, 5684
Botosani, Anul 2004, Numar, 6032
Botosani, Anul 2005, Numar, 5411
Botosani, Anul 2006, Numar, 4790
Botosani, Anul 2007, Numar, 5193
Botosani, Anul 2008, Numar, 4603
Botosani, Anul 2009, Numar, 4500
