Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar de persoane condamnate definitiv la 100000 locuitori, Valoare
Mures, Anul 2013, Numar, 233
Mures, Anul 2014, Numar, 202
Mures, Anul 2015, Numar, 217
Mures, Anul 2016, Numar, 108
Sibiu, Anul 1990, Numar, 137
Sibiu, Anul 1991, Numar, 244
Sibiu, Anul 1992, Numar, 308
Sibiu, Anul 1993, Numar, 401
Sibiu, Anul 1994, Numar, 440
Sibiu, Anul 1995, Numar, 471
Sibiu, Anul 1996, Numar, 404
Sibiu, Anul 1997, Numar, 465
Sibiu, Anul 1998, Numar, 407
Sibiu, Anul 1999, Numar, 355
Sibiu, Anul 2000, Numar, 303
Sibiu, Anul 2001, Numar, 289
Sibiu, Anul 2002, Numar, 272
Sibiu, Anul 2003, Numar, 337
Sibiu, Anul 2004, Numar, 234
Sibiu, Anul 2005, Numar, 215
Sibiu, Anul 2006, Numar, 262
Sibiu, Anul 2007, Numar, 206
Sibiu, Anul 2008, Numar, 178
Sibiu, Anul 2009, Numar, 186
Sibiu, Anul 2010, Numar, 218
Sibiu, Anul 2011, Numar, 266
Sibiu, Anul 2012, Numar, 198
Sibiu, Anul 2013, Numar, 235
Sibiu, Anul 2014, Numar, 204
Sibiu, Anul 2015, Numar, 228
Sibiu, Anul 2016, Numar, 176
MACROREGIUNEA DOI, Anul 1990, Numar, 174
MACROREGIUNEA DOI, Anul 1991, Numar, 279
MACROREGIUNEA DOI, Anul 1992, Numar, 317
MACROREGIUNEA DOI, Anul 1993, Numar, 387
MACROREGIUNEA DOI, Anul 1994, Numar, 420
MACROREGIUNEA DOI, Anul 1995, Numar, 457
MACROREGIUNEA DOI, Anul 1996, Numar, 481
MACROREGIUNEA DOI, Anul 1997, Numar, 550
MACROREGIUNEA DOI, Anul 1998, Numar, 536
MACROREGIUNEA DOI, Anul 1999, Numar, 424
MACROREGIUNEA DOI, Anul 2000, Numar, 372
MACROREGIUNEA DOI, Anul 2001, Numar, 399
MACROREGIUNEA DOI, Anul 2002, Numar, 426
MACROREGIUNEA DOI, Anul 2003, Numar, 402
MACROREGIUNEA DOI, Anul 2004, Numar, 365
MACROREGIUNEA DOI, Anul 2005, Numar, 344
MACROREGIUNEA DOI, Anul 2006, Numar, 302
MACROREGIUNEA DOI, Anul 2007, Numar, 269
MACROREGIUNEA DOI, Anul 2008, Numar, 199
MACROREGIUNEA DOI, Anul 2009, Numar, 192
MACROREGIUNEA DOI, Anul 2010, Numar, 217
MACROREGIUNEA DOI, Anul 2011, Numar, 228
MACROREGIUNEA DOI, Anul 2012, Numar, 272
MACROREGIUNEA DOI, Anul 2013, Numar, 264
MACROREGIUNEA DOI, Anul 2014, Numar, 229
MACROREGIUNEA DOI, Anul 2015, Numar, 217
MACROREGIUNEA DOI, Anul 2016, Numar, 168
Regiunea NORD-EST, Anul 1990, Numar, 161
Regiunea NORD-EST, Anul 1991, Numar, 266
Regiunea NORD-EST, Anul 1992, Numar, 295
Regiunea NORD-EST, Anul 1993, Numar, 368
Regiunea NORD-EST, Anul 1994, Numar, 414
Regiunea NORD-EST, Anul 1995, Numar, 458
Regiunea NORD-EST, Anul 1996, Numar, 480
Regiunea NORD-EST, Anul 1997, Numar, 507
Regiunea NORD-EST, Anul 1998, Numar, 534
Regiunea NORD-EST, Anul 1999, Numar, 412
Regiunea NORD-EST, Anul 2000, Numar, 376
Regiunea NORD-EST, Anul 2001, Numar, 397
Regiunea NORD-EST, Anul 2002, Numar, 429
Regiunea NORD-EST, Anul 2003, Numar, 401
Regiunea NORD-EST, Anul 2004, Numar, 382
Regiunea NORD-EST, Anul 2005, Numar, 366
Regiunea NORD-EST, Anul 2006, Numar, 325
Regiunea NORD-EST, Anul 2007, Numar, 266
Regiunea NORD-EST, Anul 2008, Numar, 198
Regiunea NORD-EST, Anul 2009, Numar, 184
Regiunea NORD-EST, Anul 2010, Numar, 215
Regiunea NORD-EST, Anul 2011, Numar, 194
Regiunea NORD-EST, Anul 2012, Numar, 245
Regiunea NORD-EST, Anul 2013, Numar, 244
Regiunea NORD-EST, Anul 2014, Numar, 212
Regiunea NORD-EST, Anul 2015, Numar, 209
Regiunea NORD-EST, Anul 2016, Numar, 164
Bacau, Anul 1990, Numar, 196
Bacau, Anul 1991, Numar, 301
Bacau, Anul 1992, Numar, 358
Bacau, Anul 1993, Numar, 432
Bacau, Anul 1994, Numar, 464
Bacau, Anul 1995, Numar, 560
Bacau, Anul 1996, Numar, 517
Bacau, Anul 1997, Numar, 571
Bacau, Anul 1998, Numar, 591
Bacau, Anul 1999, Numar, 407
