Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Mures, Anul 1994, Numar persoane, 3169
Mures, Anul 1995, Numar persoane, 2587
Mures, Anul 1996, Numar persoane, 2619
Mures, Anul 1997, Numar persoane, 2325
Mures, Anul 1998, Numar persoane, 2539
Mures, Anul 1999, Numar persoane, 2648
Mures, Anul 2000, Numar persoane, 2810
Mures, Anul 2001, Numar persoane, 2391
Mures, Anul 2002, Numar persoane, 1762
Mures, Anul 2003, Numar persoane, 1608
Mures, Anul 2004, Numar persoane, 1276
Mures, Anul 2005, Numar persoane, 1248
Mures, Anul 2006, Numar persoane, 1296
Mures, Anul 2007, Numar persoane, 1153
Mures, Anul 2008, Numar persoane, 1074
Mures, Anul 2009, Numar persoane, 1129
Mures, Anul 2010, Numar persoane, 1296
Mures, Anul 2011, Numar persoane, 1414
Mures, Anul 2012, Numar persoane, 1339
Mures, Anul 2013, Numar persoane, 1279
Mures, Anul 2014, Numar persoane, 1108
Mures, Anul 2015, Numar persoane, 1181
Mures, Anul 2016, Numar persoane, 587
Sibiu, Anul 1990, Numar persoane, 685
Sibiu, Anul 1991, Numar persoane, 1195
Sibiu, Anul 1992, Numar persoane, 1386
Sibiu, Anul 1993, Numar persoane, 1791
Sibiu, Anul 1994, Numar persoane, 1974
Sibiu, Anul 1995, Numar persoane, 2106
Sibiu, Anul 1996, Numar persoane, 1797
Sibiu, Anul 1997, Numar persoane, 2068
Sibiu, Anul 1998, Numar persoane, 1811
Sibiu, Anul 1999, Numar persoane, 1577
Sibiu, Anul 2000, Numar persoane, 1346
Sibiu, Anul 2001, Numar persoane, 1283
Sibiu, Anul 2002, Numar persoane, 1151
Sibiu, Anul 2003, Numar persoane, 1429
Sibiu, Anul 2004, Numar persoane, 989
Sibiu, Anul 2005, Numar persoane, 909
Sibiu, Anul 2006, Numar persoane, 1109
Sibiu, Anul 2007, Numar persoane, 873
Sibiu, Anul 2008, Numar persoane, 752
Sibiu, Anul 2009, Numar persoane, 789
Sibiu, Anul 2010, Numar persoane, 929
Sibiu, Anul 2011, Numar persoane, 1132
Sibiu, Anul 2012, Numar persoane, 791
Sibiu, Anul 2013, Numar persoane, 941
Sibiu, Anul 2014, Numar persoane, 815
Sibiu, Anul 2015, Numar persoane, 911
Sibiu, Anul 2016, Numar persoane, 705
MACROREGIUNEA DOI, Anul 1990, Numar persoane, 11776
MACROREGIUNEA DOI, Anul 1991, Numar persoane, 18962
MACROREGIUNEA DOI, Anul 1992, Numar persoane, 21281
