Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar infractiuni la 100000 locuitori, Valoare
MACROREGIUNEA DOI, Anul 2010, Numar, 1161
MACROREGIUNEA DOI, Anul 2011, Numar, 1104
MACROREGIUNEA DOI, Anul 2012, Numar, 1523
MACROREGIUNEA DOI, Anul 2013, Numar, 1548
MACROREGIUNEA DOI, Anul 2014, Numar, 1900
MACROREGIUNEA DOI, Anul 2015, Numar, 1658
MACROREGIUNEA DOI, Anul 2016, Numar, 1808
Regiunea NORD-EST, Anul 1990, Numar, 345
Regiunea NORD-EST, Anul 1991, Numar, 517
Regiunea NORD-EST, Anul 1992, Numar, 559
Regiunea NORD-EST, Anul 1993, Numar, 898
Regiunea NORD-EST, Anul 1994, Numar, 1023
Regiunea NORD-EST, Anul 1995, Numar, 1359
Regiunea NORD-EST, Anul 1996, Numar, 1475
Regiunea NORD-EST, Anul 1997, Numar, 1648
Regiunea NORD-EST, Anul 1998, Numar, 1748
Regiunea NORD-EST, Anul 1999, Numar, 1576
Regiunea NORD-EST, Anul 2000, Numar, 1525
Regiunea NORD-EST, Anul 2001, Numar, 1466
Regiunea NORD-EST, Anul 2002, Numar, 1456
Regiunea NORD-EST, Anul 2003, Numar, 1312
Regiunea NORD-EST, Anul 2004, Numar, 1192
Regiunea NORD-EST, Anul 2005, Numar, 1062
Regiunea NORD-EST, Anul 2006, Numar, 1057
Regiunea NORD-EST, Anul 2007, Numar, 1246
Regiunea NORD-EST, Anul 2008, Numar, 1231
Regiunea NORD-EST, Anul 2009, Numar, 1171
Regiunea NORD-EST, Anul 2010, Numar, 1141
Regiunea NORD-EST, Anul 2011, Numar, 1116
Regiunea NORD-EST, Anul 2012, Numar, 1523
Regiunea NORD-EST, Anul 2013, Numar, 1522
Regiunea NORD-EST, Anul 2014, Numar, 1881
Regiunea NORD-EST, Anul 2015, Numar, 1613
Regiunea NORD-EST, Anul 2016, Numar, 1736
Bacau, Anul 1990, Numar, 384
Bacau, Anul 1991, Numar, 710
Bacau, Anul 1992, Numar, 708
Bacau, Anul 1993, Numar, 1158
Bacau, Anul 1994, Numar, 1200
Bacau, Anul 1995, Numar, 1355
Bacau, Anul 1996, Numar, 1563
Bacau, Anul 1997, Numar, 2094
Bacau, Anul 1998, Numar, 2092
Bacau, Anul 1999, Numar, 1982
Bacau, Anul 2000, Numar, 1858
Bacau, Anul 2001, Numar, 1735
Bacau, Anul 2002, Numar, 1913
Bacau, Anul 2003, Numar, 1652
Bacau, Anul 2004, Numar, 1265
Bacau, Anul 2005, Numar, 901
Bacau, Anul 2006, Numar, 896
Bacau, Anul 2007, Numar, 1303
Bacau, Anul 2008, Numar, 1452
Bacau, Anul 2009, Numar, 1280
Bacau, Anul 2010, Numar, 1234
Bacau, Anul 2011, Numar, 1155
Bacau, Anul 2012, Numar, 1578
Bacau, Anul 2013, Numar, 1553
Bacau, Anul 2014, Numar, 1770
Bacau, Anul 2015, Numar, 1523
Bacau, Anul 2016, Numar, 1681
Botosani, Anul 1990, Numar, 324
Botosani, Anul 1991, Numar, 563
Botosani, Anul 1992, Numar, 593
Botosani, Anul 1993, Numar, 951
Botosani, Anul 1994, Numar, 1221
Botosani, Anul 1995, Numar, 1336
Botosani, Anul 1996, Numar, 1652
Botosani, Anul 1997, Numar, 1765
Botosani, Anul 1998, Numar, 1967
Botosani, Anul 1999, Numar, 1804
Botosani, Anul 2000, Numar, 1755
Botosani, Anul 2001, Numar, 1832
Botosani, Anul 2002, Numar, 1644
Botosani, Anul 2003, Numar, 1233
Botosani, Anul 2004, Numar, 1314
Botosani, Anul 2005, Numar, 1177
Botosani, Anul 2006, Numar, 1049
Botosani, Anul 2007, Numar, 1143
Botosani, Anul 2008, Numar, 1020
Botosani, Anul 2009, Numar, 1004
Botosani, Anul 2010, Numar, 1093
Botosani, Anul 2011, Numar, 1174
Botosani, Anul 2012, Numar, 1263
Botosani, Anul 2013, Numar, 1313
Botosani, Anul 2014, Numar, 1955
Botosani, Anul 2015, Numar, 1421
Botosani, Anul 2016, Numar, 1523
Iasi, Anul 1990, Numar, 368
Iasi, Anul 1991, Numar, 491
Iasi, Anul 1992, Numar, 536
Iasi, Anul 1993, Numar, 885
Iasi, Anul 1994, Numar, 1093
Iasi, Anul 1995, Numar, 1791
Iasi, Anul 1996, Numar, 1587
Iasi, Anul 1997, Numar, 1565
Iasi, Anul 1998, Numar, 1637
Iasi, Anul 1999, Numar, 1335
Iasi, Anul 2000, Numar, 1332
Iasi, Anul 2001, Numar, 1290
Iasi, Anul 2002, Numar, 1254
Iasi, Anul 2003, Numar, 1119
Iasi, Anul 2004, Numar, 987
Iasi, Anul 2005, Numar, 839
Iasi, Anul 2006, Numar, 974
Iasi, Anul 2007, Numar, 1202
Iasi, Anul 2008, Numar, 1146
Iasi, Anul 2009, Numar, 1074
Iasi, Anul 2010, Numar, 1088
Iasi, Anul 2011, Numar, 923
Iasi, Anul 2012, Numar, 1416
Iasi, Anul 2013, Numar, 1396
Iasi, Anul 2014, Numar, 2159
Iasi, Anul 2015, Numar, 1621
Iasi, Anul 2016, Numar, 1801
Neamt, Anul 1990, Numar, 331
Neamt, Anul 1991, Numar, 414
Neamt, Anul 1992, Numar, 466
Neamt, Anul 1993, Numar, 618
Neamt, Anul 1994, Numar, 653
Neamt, Anul 1995, Numar, 905
Neamt, Anul 1996, Numar, 922
Neamt, Anul 1997, Numar, 1157
Neamt, Anul 1998, Numar, 1251
Neamt, Anul 1999, Numar, 1186
Neamt, Anul 2000, Numar, 1101
Neamt, Anul 2001, Numar, 1094
Neamt, Anul 2002, Numar, 1204
Neamt, Anul 2003, Numar, 1408
Neamt, Anul 2004, Numar, 1279
Neamt, Anul 2005, Numar, 1413
Neamt, Anul 2006, Numar, 1221
Neamt, Anul 2007, Numar, 1390
Neamt, Anul 2008, Numar, 1406
Neamt, Anul 2009, Numar, 1274
Neamt, Anul 2010, Numar, 1123
Neamt, Anul 2011, Numar, 1001
Neamt, Anul 2012, Numar, 1651
Neamt, Anul 2013, Numar, 1785
Neamt, Anul 2014, Numar, 1527
Neamt, Anul 2015, Numar, 1450
Neamt, Anul 2016, Numar, 1662
Suceava, Anul 1990, Numar, 229
Suceava, Anul 1991, Numar, 340
Suceava, Anul 1992, Numar, 431
Suceava, Anul 1993, Numar, 757
Suceava, Anul 1994, Numar, 856
Suceava, Anul 1995, Numar, 1195
Suceava, Anul 1996, Numar, 1531
Suceava, Anul 1997, Numar, 1647
Suceava, Anul 1998, Numar, 1729
Suceava, Anul 1999, Numar, 1582
Suceava, Anul 2000, Numar, 1559
Suceava, Anul 2001, Numar, 1452
Suceava, Anul 2002, Numar, 1343
Suceava, Anul 2003, Numar, 1288
Suceava, Anul 2004, Numar, 1239
Suceava, Anul 2005, Numar, 1152
Suceava, Anul 2006, Numar, 1129
Suceava, Anul 2007, Numar, 1148
Suceava, Anul 2008, Numar, 1165
Suceava, Anul 2009, Numar, 1161
Suceava, Anul 2010, Numar, 1062
Suceava, Anul 2011, Numar, 1178
Suceava, Anul 2012, Numar, 1476
Suceava, Anul 2013, Numar, 1277
Suceava, Anul 2014, Numar, 1492
Suceava, Anul 2015, Numar, 1515
Suceava, Anul 2016, Numar, 1427
Vaslui, Anul 1990, Numar, 455
Vaslui, Anul 1991, Numar, 612
Vaslui, Anul 1992, Numar, 639
Vaslui, Anul 1993, Numar, 1021
Vaslui, Anul 1994, Numar, 1142
Vaslui, Anul 1995, Numar, 1451
Vaslui, Anul 1996, Numar, 1570
Vaslui, Anul 1997, Numar, 1580
Vaslui, Anul 1998, Numar, 1826
Vaslui, Anul 1999, Numar, 1608
