Numarul mediu lunar de beneficiari si sume platite, Macroregiuni  regiuni de dezvoltare si judete, Ani, Um: Numar  Lei, Valoare
Numarul mediu lunar de beneficiari - total, Buzau, Anul 2015, Numar, 10481
Numarul mediu lunar de beneficiari - total, Buzau, Anul 2016, Numar, 10306
Numarul mediu lunar de beneficiari - total, Buzau, Anul 2017, Numar, 9430
Numarul mediu lunar de beneficiari - total, Constanta, Anul 2011, Numar, 6354
Numarul mediu lunar de beneficiari - total, Constanta, Anul 2012, Numar, 5640
Numarul mediu lunar de beneficiari - total, Constanta, Anul 2013, Numar, 4238
Numarul mediu lunar de beneficiari - total, Constanta, Anul 2014, Numar, 3978
Numarul mediu lunar de beneficiari - total, Constanta, Anul 2015, Numar, 4771
Numarul mediu lunar de beneficiari - total, Constanta, Anul 2016, Numar, 4573
Numarul mediu lunar de beneficiari - total, Constanta, Anul 2017, Numar, 4326
Numarul mediu lunar de beneficiari - total, Galati, Anul 2011, Numar, 10519
Numarul mediu lunar de beneficiari - total, Galati, Anul 2012, Numar, 10320
Numarul mediu lunar de beneficiari - total, Galati, Anul 2013, Numar, 9467
Numarul mediu lunar de beneficiari - total, Galati, Anul 2014, Numar, 8921
Numarul mediu lunar de beneficiari - total, Galati, Anul 2015, Numar, 9745
Numarul mediu lunar de beneficiari - total, Galati, Anul 2016, Numar, 9619
Numarul mediu lunar de beneficiari - total, Galati, Anul 2017, Numar, 9018
Numarul mediu lunar de beneficiari - total, Tulcea, Anul 2011, Numar, 2638
Numarul mediu lunar de beneficiari - total, Tulcea, Anul 2012, Numar, 2247
Numarul mediu lunar de beneficiari - total, Tulcea, Anul 2013, Numar, 1817
Numarul mediu lunar de beneficiari - total, Tulcea, Anul 2014, Numar, 1572
Numarul mediu lunar de beneficiari - total, Tulcea, Anul 2015, Numar, 1776
Numarul mediu lunar de beneficiari - total, Tulcea, Anul 2016, Numar, 1843
Numarul mediu lunar de beneficiari - total, Tulcea, Anul 2017, Numar, 1839
Numarul mediu lunar de beneficiari - total, Vrancea, Anul 2011, Numar, 6146
Numarul mediu lunar de beneficiari - total, Vrancea, Anul 2012, Numar, 6270
Numarul mediu lunar de beneficiari - total, Vrancea, Anul 2013, Numar, 5565
Numarul mediu lunar de beneficiari - total, Vrancea, Anul 2014, Numar, 5374
Numarul mediu lunar de beneficiari - total, Vrancea, Anul 2015, Numar, 5902
Numarul mediu lunar de beneficiari - total, Vrancea, Anul 2016, Numar, 5796
Numarul mediu lunar de beneficiari - total, Vrancea, Anul 2017, Numar, 5636
Numarul mediu lunar de beneficiari - total, MACROREGIUNEA TREI, Anul 2011, Numar, 57720
Numarul mediu lunar de beneficiari - total, MACROREGIUNEA TREI, Anul 2012, Numar, 53326
Numarul mediu lunar de beneficiari - total, MACROREGIUNEA TREI, Anul 2013, Numar, 47371
Numarul mediu lunar de beneficiari - total, MACROREGIUNEA TREI, Anul 2014, Numar, 46238
Numarul mediu lunar de beneficiari - total, MACROREGIUNEA TREI, Anul 2015, Numar, 54746
Numarul mediu lunar de beneficiari - total, MACROREGIUNEA TREI, Anul 2016, Numar, 53695
Numarul mediu lunar de beneficiari - total, MACROREGIUNEA TREI, Anul 2017, Numar, 49772
Numarul mediu lunar de beneficiari - total, Regiunea SUD-MUNTENIA, Anul 2011, Numar, 54687
Numarul mediu lunar de beneficiari - total, Regiunea SUD-MUNTENIA, Anul 2012, Numar, 50886
Numarul mediu lunar de beneficiari - total, Regiunea SUD-MUNTENIA, Anul 2013, Numar, 45389
Numarul mediu lunar de beneficiari - total, Regiunea SUD-MUNTENIA, Anul 2014, Numar, 44485
Numarul mediu lunar de beneficiari - total, Regiunea SUD-MUNTENIA, Anul 2015, Numar, 52518
Numarul mediu lunar de beneficiari - total, Regiunea SUD-MUNTENIA, Anul 2016, Numar, 51514
Numarul mediu lunar de beneficiari - total, Regiunea SUD-MUNTENIA, Anul 2017, Numar, 47637
Numarul mediu lunar de beneficiari - total, Arges, Anul 2011, Numar, 9990
Numarul mediu lunar de beneficiari - total, Arges, Anul 2012, Numar, 9177
Numarul mediu lunar de beneficiari - total, Arges, Anul 2013, Numar, 7815
Numarul mediu lunar de beneficiari - total, Arges, Anul 2014, Numar, 7732
Numarul mediu lunar de beneficiari - total, Arges, Anul 2015, Numar, 9024
Numarul mediu lunar de beneficiari - total, Arges, Anul 2016, Numar, 8736
Numarul mediu lunar de beneficiari - total, Arges, Anul 2017, Numar, 7953
Numarul mediu lunar de beneficiari - total, Calarasi, Anul 2011, Numar, 5365
Numarul mediu lunar de beneficiari - total, Calarasi, Anul 2012, Numar, 5985
Numarul mediu lunar de beneficiari - total, Calarasi, Anul 2013, Numar, 5382
Numarul mediu lunar de beneficiari - total, Calarasi, Anul 2014, Numar, 5320
Numarul mediu lunar de beneficiari - total, Calarasi, Anul 2015, Numar, 6582
Numarul mediu lunar de beneficiari - total, Calarasi, Anul 2016, Numar, 6539
Numarul mediu lunar de beneficiari - total, Calarasi, Anul 2017, Numar, 6241
Numarul mediu lunar de beneficiari - total, Dambovita, Anul 2011, Numar, 7717
Numarul mediu lunar de beneficiari - total, Dambovita, Anul 2012, Numar, 6893
Numarul mediu lunar de beneficiari - total, Dambovita, Anul 2013, Numar, 6421
Numarul mediu lunar de beneficiari - total, Dambovita, Anul 2014, Numar, 6625
Numarul mediu lunar de beneficiari - total, Dambovita, Anul 2015, Numar, 7926
Numarul mediu lunar de beneficiari - total, Dambovita, Anul 2016, Numar, 7712
Numarul mediu lunar de beneficiari - total, Dambovita, Anul 2017, Numar, 7231
Numarul mediu lunar de beneficiari - total, Giurgiu, Anul 2011, Numar, 6046
Numarul mediu lunar de beneficiari - total, Giurgiu, Anul 2012, Numar, 7018
Numarul mediu lunar de beneficiari - total, Giurgiu, Anul 2013, Numar, 6497
Numarul mediu lunar de beneficiari - total, Giurgiu, Anul 2014, Numar, 5759
