Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Buzau, Anul 2011, Numar persoane, 247515
Buzau, Anul 2012, Numar persoane, 249095
Buzau, Anul 2013, Numar persoane, 231182
Buzau, Anul 2014, Numar persoane, 232511
Buzau, Anul 2015, Numar persoane, 239686
Buzau, Anul 2016, Numar persoane, 259725
Buzau, Anul 2017, Numar persoane, 308923
Constanta, Anul 2008, Numar persoane, 519017
Constanta, Anul 2009, Numar persoane, 521864
Constanta, Anul 2010, Numar persoane, 509968
Constanta, Anul 2011, Numar persoane, 544728
Constanta, Anul 2012, Numar persoane, 536605
Constanta, Anul 2013, Numar persoane, 524901
Constanta, Anul 2014, Numar persoane, 567282
Constanta, Anul 2015, Numar persoane, 552364
Constanta, Anul 2016, Numar persoane, 554357
Constanta, Anul 2017, Numar persoane, 551345
Galati, Anul 2008, Numar persoane, 347973
Galati, Anul 2009, Numar persoane, 346616
Galati, Anul 2010, Numar persoane, 341625
Galati, Anul 2011, Numar persoane, 345190
Galati, Anul 2012, Numar persoane, 356461
Galati, Anul 2013, Numar persoane, 358894
Galati, Anul 2014, Numar persoane, 370776
Galati, Anul 2015, Numar persoane, 374030
Galati, Anul 2016, Numar persoane, 386179
Galati, Anul 2017, Numar persoane, 403859
Tulcea, Anul 2008, Numar persoane, 149573
Tulcea, Anul 2009, Numar persoane, 156780
Tulcea, Anul 2010, Numar persoane, 155393
Tulcea, Anul 2011, Numar persoane, 146634
Tulcea, Anul 2012, Numar persoane, 148846
Tulcea, Anul 2013, Numar persoane, 146182
Tulcea, Anul 2014, Numar persoane, 151685
Tulcea, Anul 2015, Numar persoane, 151729
Tulcea, Anul 2016, Numar persoane, 156780
Tulcea, Anul 2017, Numar persoane, 148044
Vrancea, Anul 2008, Numar persoane, 178983
Vrancea, Anul 2009, Numar persoane, 178023
Vrancea, Anul 2010, Numar persoane, 174416
Vrancea, Anul 2011, Numar persoane, 159766
Vrancea, Anul 2012, Numar persoane, 156463
Vrancea, Anul 2013, Numar persoane, 190014
Vrancea, Anul 2014, Numar persoane, 184981
Vrancea, Anul 2015, Numar persoane, 189478
Vrancea, Anul 2016, Numar persoane, 201669
Vrancea, Anul 2017, Numar persoane, 197220
MACROREGIUNEA TREI, Anul 2008, Numar persoane, 3321412
MACROREGIUNEA TREI, Anul 2009, Numar persoane, 3407926
MACROREGIUNEA TREI, Anul 2010, Numar persoane, 3426007
MACROREGIUNEA TREI, Anul 2011, Numar persoane, 3505881
MACROREGIUNEA TREI, Anul 2012, Numar persoane, 3546623
MACROREGIUNEA TREI, Anul 2013, Numar persoane, 3572242
MACROREGIUNEA TREI, Anul 2014, Numar persoane, 3581211
MACROREGIUNEA TREI, Anul 2015, Numar persoane, 3641646
MACROREGIUNEA TREI, Anul 2016, Numar persoane, 3709169
MACROREGIUNEA TREI, Anul 2017, Numar persoane, 3762019
Regiunea SUD-MUNTENIA, Anul 2008, Numar persoane, 1594334
Regiunea SUD-MUNTENIA, Anul 2009, Numar persoane, 1635562
Regiunea SUD-MUNTENIA, Anul 2010, Numar persoane, 1633995
Regiunea SUD-MUNTENIA, Anul 2011, Numar persoane, 1706732
Regiunea SUD-MUNTENIA, Anul 2012, Numar persoane, 1726829
Regiunea SUD-MUNTENIA, Anul 2013, Numar persoane, 1722343
Regiunea SUD-MUNTENIA, Anul 2014, Numar persoane, 1718797
Regiunea SUD-MUNTENIA, Anul 2015, Numar persoane, 1764488
Regiunea SUD-MUNTENIA, Anul 2016, Numar persoane, 1828891
Regiunea SUD-MUNTENIA, Anul 2017, Numar persoane, 1847394
Arges, Anul 2008, Numar persoane, 387326
Arges, Anul 2009, Numar persoane, 382075
Arges, Anul 2010, Numar persoane, 382753
Arges, Anul 2011, Numar persoane, 403250
Arges, Anul 2012, Numar persoane, 416704
Arges, Anul 2013, Numar persoane, 399174
Arges, Anul 2014, Numar persoane, 399349
Arges, Anul 2015, Numar persoane, 402158
Arges, Anul 2016, Numar persoane, 411867
Arges, Anul 2017, Numar persoane, 410575
Calarasi, Anul 2008, Numar persoane, 135138
Calarasi, Anul 2009, Numar persoane, 134776
Calarasi, Anul 2010, Numar persoane, 133527
Calarasi, Anul 2011, Numar persoane, 131469
Calarasi, Anul 2012, Numar persoane, 131729
Calarasi, Anul 2013, Numar persoane, 137799
Calarasi, Anul 2014, Numar persoane, 135542
Calarasi, Anul 2015, Numar persoane, 139585
Calarasi, Anul 2016, Numar persoane, 147348
Calarasi, Anul 2017, Numar persoane, 146998
Dambovita, Anul 2008, Numar persoane, 188609
Dambovita, Anul 2009, Numar persoane, 213812
Dambovita, Anul 2010, Numar persoane, 215035
Dambovita, Anul 2011, Numar persoane, 267888
Dambovita, Anul 2012, Numar persoane, 270178
Dambovita, Anul 2013, Numar persoane, 275823
Dambovita, Anul 2014, Numar persoane, 291018
Dambovita, Anul 2015, Numar persoane, 302185
Dambovita, Anul 2016, Numar persoane, 336216
Dambovita, Anul 2017, Numar persoane, 337347
Giurgiu, Anul 2008, Numar persoane, 73937
Giurgiu, Anul 2009, Numar persoane, 76162
Giurgiu, Anul 2010, Numar persoane, 77323
Giurgiu, Anul 2011, Numar persoane, 76921
Giurgiu, Anul 2012, Numar persoane, 77290
Giurgiu, Anul 2013, Numar persoane, 77681
Giurgiu, Anul 2014, Numar persoane, 78094
Giurgiu, Anul 2015, Numar persoane, 84995
Giurgiu, Anul 2016, Numar persoane, 84809
Giurgiu, Anul 2017, Numar persoane, 92756
Ialomita, Anul 2008, Numar persoane, 140694
Ialomita, Anul 2009, Numar persoane, 134257
Ialomita, Anul 2010, Numar persoane, 133836
Ialomita, Anul 2011, Numar persoane, 132059
Ialomita, Anul 2012, Numar persoane, 138459
Ialomita, Anul 2013, Numar persoane, 157650
Ialomita, Anul 2014, Numar persoane, 149977
Ialomita, Anul 2015, Numar persoane, 154800
Ialomita, Anul 2016, Numar persoane, 151931
Ialomita, Anul 2017, Numar persoane, 154984
Prahova, Anul 2008, Numar persoane, 570948
Prahova, Anul 2009, Numar persoane, 597014
Prahova, Anul 2010, Numar persoane, 592356
Prahova, Anul 2011, Numar persoane, 592033
Prahova, Anul 2012, Numar persoane, 585956
Prahova, Anul 2013, Numar persoane, 563757
Prahova, Anul 2014, Numar persoane, 555713
Prahova, Anul 2015, Numar persoane, 570345
Prahova, Anul 2016, Numar persoane, 582939
Prahova, Anul 2017, Numar persoane, 593707
Teleorman, Anul 2008, Numar persoane, 97682
Teleorman, Anul 2009, Numar persoane, 97466
Teleorman, Anul 2010, Numar persoane, 99165
Teleorman, Anul 2011, Numar persoane, 103112
Teleorman, Anul 2012, Numar persoane, 106513
Teleorman, Anul 2013, Numar persoane, 110459
Teleorman, Anul 2014, Numar persoane, 109104
Teleorman, Anul 2015, Numar persoane, 110420
Teleorman, Anul 2016, Numar persoane, 113781
